train_task,test_task,diff
semantic,glass,0.08700396825396826
semantic,mem,0.055892857142857175
semantic,motor,0.08687500000000004
glass,mem,0.012400793650793662
glass,motor,0.021845238095238084
glass,semantic,0.1732539682539683
mem,glass,0.01634920634920636
mem,motor,0.014196428571428553
mem,semantic,-0.030446428571428603
motor,glass,-0.010972222222222239
motor,mem,-0.030357142857142833
motor,semantic,0.0031250000000000405
semantic,glass,0.06703373015873015
semantic,mem,0.019196428571428593
semantic,motor,-0.059464285714285706
glass,mem,-0.06339285714285713
glass,motor,0.02287698412698411
glass,semantic,-0.010287698412698455
mem,glass,0.013204365079365076
mem,motor,0.0364285714285714
mem,semantic,0.008303571428571422
motor,glass,-0.04879960317460315
motor,mem,0.025892857142857127
motor,semantic,0.013928571428571417
semantic,glass,-0.007321428571428562
semantic,mem,0.0033035714285714127
semantic,motor,0.050982142857142816
glass,mem,0.030218253968253953
glass,motor,0.048363095238095254
glass,semantic,-0.021190476190476176
mem,glass,-0.16707341269841272
mem,motor,0.02232142857142861
mem,semantic,0.029196428571428575
motor,glass,0.022311507936507945
motor,mem,0.03839285714285713
motor,semantic,0.017053571428571408
semantic,glass,-0.07236111111111111
semantic,mem,-0.02580357142857142
semantic,motor,-0.03937500000000003
glass,mem,-0.015873015873015872
glass,motor,-0.029771825396825408
glass,semantic,-0.12610119047619048
mem,glass,0.10237103174603167
mem,motor,-0.05633928571428574
mem,semantic,0.052410714285714255
motor,glass,-0.04142857142857139
motor,mem,0.03517857142857146
motor,semantic,-0.009464285714285713
semantic,glass,0.07076388888888889
semantic,mem,0.024107142857142855
semantic,motor,0.03276785714285717
glass,mem,0.05865079365079362
glass,motor,0.06135912698412699
glass,semantic,-0.06536706349206349
mem,glass,-0.04299603174603176
mem,motor,-0.04741071428571426
mem,semantic,0.03803571428571427
motor,glass,-0.06418650793650792
motor,mem,0.0021428571428571646
motor,semantic,-0.03375000000000002
semantic,glass,-0.007083333333333317
semantic,mem,0.09053571428571429
semantic,motor,0.016964285714285713
glass,mem,-0.09176587301587305
glass,motor,0.12048611111111117
glass,semantic,-0.014632936507936537
mem,glass,-0.023948412698412684
mem,motor,-0.09464285714285717
mem,semantic,0.04026785714285714
motor,glass,0.07248015873015874
motor,mem,-0.00482142857142855
motor,semantic,0.0517857142857143
semantic,glass,-0.032827380952380934
semantic,mem,-0.02714285714285717
semantic,motor,0.01767857142857141
glass,mem,-0.04964285714285712
glass,motor,-0.0027876984126983884
glass,semantic,0.05352182539682543
mem,glass,-0.03347222222222222
mem,motor,-0.012857142857142805
mem,semantic,0.03883928571428575
motor,glass,0.046964285714285695
motor,mem,0.07491071428571429
motor,semantic,-0.07160714285714288
semantic,glass,0.06775793650793653
semantic,mem,0.04151785714285715
semantic,motor,-0.004285714285714262
glass,mem,-0.01941468253968256
glass,motor,0.11364087301587304
glass,semantic,0.034722222222222175
mem,glass,0.07686507936507936
mem,motor,-0.013125000000000034
mem,semantic,0.08071428571428567
motor,glass,-0.05724206349206347
motor,mem,0.09062499999999994
motor,semantic,-0.034732142857142885
semantic,glass,-0.005833333333333377
semantic,mem,0.03401785714285712
semantic,motor,-0.0670535714285714
glass,mem,-0.0879960317460318
glass,motor,-0.04621031746031744
glass,semantic,-0.044345238095238104
mem,glass,0.0014285714285714249
mem,motor,-0.096875
mem,semantic,-0.07544642857142855
motor,glass,0.0460416666666667
motor,mem,-0.03803571428571428
motor,semantic,-0.017946428571428568
semantic,glass,0.09196428571428576
semantic,mem,-0.022232142857142843
semantic,motor,-0.02464285714285717
glass,mem,0.010178571428571414
glass,motor,-0.05706349206349208
glass,semantic,0.0017559523809523778
mem,glass,0.049781746031746066
mem,motor,-0.015267857142857137
mem,semantic,-0.03357142857142859
motor,glass,-0.0012003968253968306
motor,mem,0.0025892857142857245
motor,semantic,-0.04276785714285714
semantic,glass,-0.09357142857142854
semantic,mem,-0.10964285714285715
semantic,motor,-0.019642857142857153
glass,mem,0.06645833333333333
glass,motor,0.02687499999999996
glass,semantic,-0.03898809523809519
mem,glass,0.06651785714285711
mem,motor,0.062410714285714305
mem,semantic,-0.030089285714285745
motor,glass,0.05004960317460318
motor,mem,-0.07258928571428573
motor,semantic,-0.013125000000000043
semantic,glass,-0.09801587301587301
semantic,mem,0.06491071428571425
semantic,motor,0.06348214285714289
glass,mem,-0.04073412698412695
glass,motor,-0.08611111111111101
glass,semantic,-0.01826388888888891
mem,glass,-0.052738095238095264
mem,motor,-0.021071428571428543
mem,semantic,-0.06187500000000002
motor,glass,-0.031329365079365075
motor,mem,-0.12196428571428572
motor,semantic,0.015089285714285711
semantic,glass,-0.11522817460317465
semantic,mem,0.04294642857142855
semantic,motor,-0.11160714285714286
glass,mem,0.147936507936508
glass,motor,-0.011676587301587346
glass,semantic,-0.06427579365079365
mem,glass,0.037976190476190476
mem,motor,0.04232142857142856
mem,semantic,-0.03580357142857144
motor,glass,0.024424603174603186
motor,mem,-0.014196428571428601
motor,semantic,0.06035714285714284
semantic,glass,-0.05371031746031747
semantic,mem,0.05973214285714284
semantic,motor,0.026696428571428572
glass,mem,-0.036041666666666694
glass,motor,0.04020833333333331
glass,semantic,-0.0063888888888888815
mem,glass,-0.03161706349206348
mem,motor,-0.023660714285714257
mem,semantic,-0.04625000000000002
motor,glass,-0.08538690476190473
motor,mem,0.013571428571428594
motor,semantic,0.022499999999999996
semantic,glass,-0.052698412698412724
semantic,mem,-0.05473214285714288
semantic,motor,0.06883928571428569
glass,mem,-0.025942460317460336
glass,motor,-0.025694444444444433
glass,semantic,0.018045634920634906
mem,glass,-0.023363095238095256
mem,motor,0.13892857142857148
mem,semantic,0.003124999999999976
motor,glass,-0.08034722222222225
motor,mem,-0.05017857142857145
motor,semantic,0.07125000000000005
semantic,glass,0.06218253968253966
semantic,mem,0.026874999999999975
semantic,motor,0.05491071428571428
glass,mem,-0.006319444444444447
glass,motor,0.029494047619047607
glass,semantic,-0.04513888888888885
mem,glass,0.04233134920634919
mem,motor,0.029017857142857113
mem,semantic,-0.09044642857142861
motor,glass,0.05265873015873013
