train_sub,test_sub,task,acc,spec,sen
MSC07,MSC03,glass,0.5,1.0,0.0
MSC07,MSC03,semantic,0.5,1.0,0.0
MSC07,MSC03,motor,0.7350000000000001,0.48,0.99
MSC07,MSC03,mem,0.79,0.5800000000000001,1.0
MSC07,MSC04,glass,0.5,1.0,0.0
MSC07,MSC04,semantic,0.53,1.0,0.06000000000000001
MSC07,MSC04,motor,0.8150000000000001,0.63,1.0
MSC07,MSC04,mem,0.915,0.93,0.9
MSC07,MSC05,glass,0.5,1.0,0.0
MSC07,MSC05,semantic,0.5,1.0,0.0
MSC07,MSC05,motor,0.845,0.7000000000000001,0.99
MSC07,MSC05,mem,0.975,1.0,0.95
MSC07,MSC06,glass,0.5,1.0,0.0
MSC07,MSC06,semantic,0.5449999999999999,1.0,0.09
MSC07,MSC06,motor,0.8399999999999999,0.7100000000000001,0.97
MSC07,MSC06,mem,0.97,1.0,0.9400000000000001
MSC07,MSC10,glass,0.5,1.0,0.0
MSC07,MSC10,semantic,0.5,1.0,0.0
MSC07,MSC10,motor,0.8699999999999999,0.75,0.99
MSC07,MSC10,mem,0.9349999999999999,0.8699999999999999,1.0
MSC10,MSC01,glass,0.76,0.9600000000000002,0.5599999999999999
MSC10,MSC01,semantic,0.945,0.99,0.9000000000000001
MSC10,MSC01,motor,0.9400000000000001,1.0,0.8800000000000001
MSC10,MSC01,mem,0.8899999999999999,0.78,1.0
MSC10,MSC02,glass,0.53,1.0,0.06
MSC10,MSC02,semantic,0.645,1.0,0.29
MSC10,MSC02,motor,0.8500000000000002,1.0,0.7
MSC10,MSC02,mem,0.8250000000000002,0.6499999999999999,1.0
MSC10,MSC03,glass,0.5549999999999999,0.96,0.15
MSC10,MSC03,semantic,0.8049999999999999,0.99,0.62
MSC10,MSC03,motor,0.89,0.9000000000000001,0.8800000000000002
MSC10,MSC03,mem,0.835,0.6699999999999998,1.0
MSC10,MSC04,glass,0.8299999999999998,0.95,0.71
MSC10,MSC04,semantic,0.8099999999999999,1.0,0.6199999999999999
MSC10,MSC04,motor,0.96,1.0,0.9200000000000002
MSC10,MSC04,mem,0.9000000000000001,0.7999999999999999,1.0
MSC10,MSC05,glass,0.605,1.0,0.21000000000000002
MSC10,MSC05,semantic,0.7999999999999999,1.0,0.6
MSC10,MSC05,motor,0.82,1.0,0.64
MSC10,MSC05,mem,0.9049999999999999,0.8800000000000001,0.93
MSC10,MSC06,glass,0.5888888888888889,1.0,0.1777777777777778
MSC10,MSC06,semantic,0.665,1.0,0.32999999999999996
MSC10,MSC06,motor,0.66,1.0,0.31999999999999995
MSC10,MSC06,mem,0.97,1.0,0.9400000000000001
MSC10,MSC07,glass,0.5349999999999999,0.9800000000000001,0.09
MSC10,MSC07,semantic,0.66,1.0,0.31999999999999995
MSC10,MSC07,motor,0.905,1.0,0.8099999999999999
MSC10,MSC07,mem,0.7699999999999998,0.8900000000000002,0.65
