train,same_sub,diff_sub,feat
MSC05,0.89,0.53,25
MSC06,0.76,0.62,25
MSC07,0.79,0.55,25
MSC10,0.72,0.5,25
MSC01,0.78,0.57,25
MSC02,0.72,0.56,25
MSC03,0.81,0.47,25
MSC04,0.69,0.57,25
MSC05,0.81,0.52,25
MSC06,0.75,0.54,25
MSC07,0.65,0.54,25
MSC10,0.56,0.52,25
MSC01,0.76,0.51,26
MSC02,0.78,0.53,26
MSC03,0.85,0.51,26
MSC04,0.7,0.49,26
MSC05,0.81,0.57,26
MSC06,0.61,0.47,26
MSC07,0.84,0.54,26
MSC10,0.65,0.49,26
MSC01,0.79,0.53,26
MSC02,0.8,0.67,26
MSC03,0.88,0.69,26
MSC04,0.74,0.64,26
MSC05,0.86,0.6,26
MSC06,0.84,0.6,26
MSC07,0.69,0.59,26
MSC10,0.75,0.67,26
MSC01,0.84,0.58,26
MSC02,0.75,0.54,26
MSC03,0.78,0.46,26
MSC04,0.72,0.57,26
MSC05,0.8,0.54,26
MSC06,0.85,0.51,26
MSC07,0.78,0.5,26
MSC10,0.79,0.53,26
MSC01,0.8,0.58,26
