train_task,test_task,diff
mixed,mem,0.014999999999999961
mixed,motor,0.0037500000000000207
motor,mem,0.009375000000000001
motor,mixed,0.10124999999999999
mem,mixed,-0.03187500000000002
mem,motor,-0.030000000000000006
mixed,mem,-0.051875000000000004
mixed,motor,-0.027500000000000035
motor,mem,0.11124999999999999
motor,mixed,0.04249999999999998
mem,mixed,0.0012499999999999803
mem,motor,-0.05187499999999999
mixed,mem,0.04749999999999999
mixed,motor,0.11562499999999998
motor,mem,0.09624999999999999
motor,mixed,0.01562500000000004
mem,mixed,-0.021249999999999998
mem,motor,-0.031875000000000014
mixed,mem,-0.0037499999999999756
mixed,motor,-0.020624999999999987
motor,mem,0.04062500000000003
motor,mixed,0.04062500000000001
mem,mixed,0.010624999999999968
mem,motor,-0.05062499999999999
mixed,mem,-0.0012500000000000046
mixed,motor,0.013124999999999977
motor,mem,0.04999999999999998
motor,mixed,-0.02187499999999999
mem,mixed,-0.0012499999999999317
mem,motor,-0.01812499999999998
mixed,mem,0.013124999999999977
mixed,motor,-0.051874999999999984
motor,mem,0.019999999999999993
motor,mixed,0.015625000000000007
mem,mixed,-0.028750000000000015
mem,motor,0.026874999999999996
mixed,mem,0.02375
mixed,motor,0.054375000000000034
motor,mem,0.04625000000000003
motor,mixed,-0.008750000000000025
mem,mixed,0.048125000000000015
mem,motor,-0.010624999999999989
mixed,mem,0.032500000000000036
mixed,motor,-0.015624999999999993
motor,mem,0.010000000000000005
motor,mixed,-0.007500000000000034
mem,mixed,0.028749999999999984
mem,motor,-0.10500000000000001
mixed,mem,-0.06687499999999999
mixed,motor,0.0006249999999999867
motor,mem,0.02312500000000001
motor,mixed,-0.09874999999999998
mem,mixed,-0.03437499999999999
mem,motor,0.03437499999999999
mixed,mem,-0.028750000000000005
mixed,motor,0.016875000000000015
motor,mem,0.001250000000000008
motor,mixed,-0.01624999999999998
mem,mixed,0.06625
mem,motor,0.05562499999999997
mixed,mem,0.0031250000000000167
mixed,motor,0.020000000000000018
motor,mem,-0.038124999999999985
motor,mixed,-0.05874999999999999
mem,mixed,-0.025624999999999967
mem,motor,0.07687499999999999
mixed,mem,-0.02000000000000003
mixed,motor,0.011250000000000024
motor,mem,0.023124999999999993
