acc,train,test,train_task,test_task
0.85,MSC01,MSC10,mem,mixed
0.75,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.85,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.9,MSC01,MSC10,mem,motor
0.85,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.55,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.6,MSC01,MSC10,motor,mixed
0.65,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.75,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.65,MSC01,MSC10,motor,mem
0.9,MSC01,MSC10,motor,mem
0.75,MSC01,MSC10,motor,mem
0.85,MSC01,MSC10,motor,mem
0.9,MSC01,MSC10,motor,mem
0.95,MSC01,MSC10,motor,mem
0.9,MSC01,MSC10,motor,mem
0.95,MSC01,MSC10,motor,mem
0.9,MSC01,MSC10,motor,mem
0.85,MSC01,MSC10,motor,mem
0.75,MSC02,MSC01,mixed,mem
0.5,MSC02,MSC01,mixed,mem
0.65,MSC02,MSC01,mixed,mem
0.55,MSC02,MSC01,mixed,mem
0.55,MSC02,MSC01,mixed,mem
0.6,MSC02,MSC01,mixed,mem
0.5,MSC02,MSC01,mixed,mem
0.65,MSC02,MSC01,mixed,mem
0.55,MSC02,MSC01,mixed,mem
0.65,MSC02,MSC01,mixed,mem
0.85,MSC02,MSC01,mixed,motor
0.5,MSC02,MSC01,mixed,motor
0.65,MSC02,MSC01,mixed,motor
0.6,MSC02,MSC01,mixed,motor
0.65,MSC02,MSC01,mixed,motor
0.7,MSC02,MSC01,mixed,motor
0.65,MSC02,MSC01,mixed,motor
0.75,MSC02,MSC01,mixed,motor
0.6,MSC02,MSC01,mixed,motor
0.6,MSC02,MSC01,mixed,motor
0.9,MSC02,MSC01,mem,mixed
0.95,MSC02,MSC01,mem,mixed
0.95,MSC02,MSC01,mem,mixed
0.95,MSC02,MSC01,mem,mixed
1.0,MSC02,MSC01,mem,mixed
0.95,MSC02,MSC01,mem,mixed
0.95,MSC02,MSC01,mem,mixed
1.0,MSC02,MSC01,mem,mixed
1.0,MSC02,MSC01,mem,mixed
1.0,MSC02,MSC01,mem,mixed
0.9,MSC02,MSC01,mem,motor
0.95,MSC02,MSC01,mem,motor
0.95,MSC02,MSC01,mem,motor
1.0,MSC02,MSC01,mem,motor
1.0,MSC02,MSC01,mem,motor
0.95,MSC02,MSC01,mem,motor
1.0,MSC02,MSC01,mem,motor
1.0,MSC02,MSC01,mem,motor
1.0,MSC02,MSC01,mem,motor
1.0,MSC02,MSC01,mem,motor
0.5,MSC02,MSC01,motor,mixed
0.5,MSC02,MSC01,motor,mixed
0.5,MSC02,MSC01,motor,mixed
0.5,MSC02,MSC01,motor,mixed
0.5,MSC02,MSC01,motor,mixed
0.5,MSC02,MSC01,motor,mixed
0.5,MSC02,MSC01,motor,mixed
0.5,MSC02,MSC01,motor,mixed
0.5,MSC02,MSC01,motor,mixed
0.5,MSC02,MSC01,motor,mixed
0.5,MSC02,MSC01,motor,mem
0.5,MSC02,MSC01,motor,mem
0.5,MSC02,MSC01,motor,mem
0.5,MSC02,MSC01,motor,mem
0.5,MSC02,MSC01,motor,mem
0.5,MSC02,MSC01,motor,mem
0.5,MSC02,MSC01,motor,mem
0.5,MSC02,MSC01,motor,mem
0.5,MSC02,MSC01,motor,mem
0.5,MSC02,MSC01,motor,mem
0.65,MSC02,MSC03,mixed,mem
0.5,MSC02,MSC03,mixed,mem
0.55,MSC02,MSC03,mixed,mem
0.6,MSC02,MSC03,mixed,mem
0.65,MSC02,MSC03,mixed,mem
0.65,MSC02,MSC03,mixed,mem
0.6,MSC02,MSC03,mixed,mem
0.65,MSC02,MSC03,mixed,mem
0.6,MSC02,MSC03,mixed,mem
0.65,MSC02,MSC03,mixed,mem
0.75,MSC02,MSC03,mixed,motor
0.5,MSC02,MSC03,mixed,motor
0.6,MSC02,MSC03,mixed,motor
0.65,MSC02,MSC03,mixed,motor
0.75,MSC02,MSC03,mixed,motor
0.75,MSC02,MSC03,mixed,motor
0.7,MSC02,MSC03,mixed,motor
0.75,MSC02,MSC03,mixed,motor
0.7,MSC02,MSC03,mixed,motor
0.6,MSC02,MSC03,mixed,motor
0.65,MSC02,MSC03,mem,mixed
0.6,MSC02,MSC03,mem,mixed
0.6,MSC02,MSC03,mem,mixed
0.75,MSC02,MSC03,mem,mixed
0.8,MSC02,MSC03,mem,mixed
0.65,MSC02,MSC03,mem,mixed
0.8,MSC02,MSC03,mem,mixed
0.8,MSC02,MSC03,mem,mixed
0.7,MSC02,MSC03,mem,mixed
0.75,MSC02,MSC03,mem,mixed
0.7,MSC02,MSC03,mem,motor
0.7,MSC02,MSC03,mem,motor
0.7,MSC02,MSC03,mem,motor
0.85,MSC02,MSC03,mem,motor
0.9,MSC02,MSC03,mem,motor
0.7,MSC02,MSC03,mem,motor
0.8,MSC02,MSC03,mem,motor
0.85,MSC02,MSC03,mem,motor
0.75,MSC02,MSC03,mem,motor
0.85,MSC02,MSC03,mem,motor
0.5,MSC02,MSC03,motor,mixed
0.5,MSC02,MSC03,motor,mixed
0.5,MSC02,MSC03,motor,mixed
0.5,MSC02,MSC03,motor,mixed
0.5,MSC02,MSC03,motor,mixed
