Network,task,train,diff_sub,feature,mu,std,z_score
pmn,mem,MSC04,0.5764285714285714,45,0.6389347826086955,0.06940849769453224,-0.9005555984688621
pmn,mem,MSC05,0.54,45,0.6117971014492752,0.061051331594469786,-1.1760120471439284
pmn,mem,MSC06,0.5192857142857142,45,0.6421884057971013,0.06146740761860067,-1.9994773860317396
pmn,mem,MSC07,0.5657142857142857,45,0.6188478260869568,0.0682106797954457,-0.7789621879156036
pmn,mem,MSC10,0.5328571428571428,45,0.6468333333333334,0.06566799351357927,-1.7356429575181371
sm-lat,mem,MSC01,0.47,316,0.7817608695652168,0.07463530439241714,-4.177123307838903
sm-lat,mem,MSC02,0.6657142857142857,316,0.7615579710144922,0.08363390416963544,-1.1459908066207913
sm-lat,mem,MSC03,0.6314285714285715,316,0.7110357142857144,0.06170640256490042,-1.2900953474546706
sm-lat,mem,MSC04,0.6385714285714286,316,0.7893188405797098,0.07062606223711397,-2.1344445270383985
sm-lat,mem,MSC05,0.5285714285714286,316,0.7364565217391307,0.06632732810146522,-3.1342298735400105
sm-lat,mem,MSC06,0.6271428571428571,316,0.8004855072463765,0.05821716652361313,-2.977517808827244
sm-lat,mem,MSC07,0.6014285714285714,316,0.7550217391304349,0.0778056136546338,-1.9740628019931576
sm-lat,mem,MSC10,0.6728571428571428,316,0.7747898550724637,0.06010062295401299,-1.696034204060021
salience,mem,MSC01,0.6628571428571428,494,0.7948115942028986,0.06716024094886937,-1.9647703683227662
salience,mem,MSC02,0.7564285714285715,494,0.8009999999999999,0.07317494524234627,-0.6091077816842019
salience,mem,MSC03,0.7764285714285715,494,0.7341250000000005,0.07494517811876182,0.5644602159932781
salience,mem,MSC04,0.6135714285714285,494,0.818398550724638,0.06879251533057361,-2.977462317941697
salience,mem,MSC05,0.7285714285714285,494,0.7792463768115943,0.05386444085935224,-0.9407866754337106
salience,mem,MSC06,0.7,494,0.8322246376811592,0.05165052618197762,-2.559986266457364
salience,mem,MSC07,0.6442857142857142,494,0.7989130434782605,0.06126921765548251,-2.5237359821047085
salience,mem,MSC10,0.7235714285714285,494,0.8002898550724632,0.04888100307702609,-1.5694937024950715
auditory,mem,MSC01,0.5571428571428572,564,0.7991884057971016,0.07497389287036463,-3.2283977713783516
auditory,mem,MSC02,0.5235714285714286,564,0.835840579710145,0.065852276598328,-4.741964397729645
auditory,mem,MSC03,0.565,564,0.7318482142857138,0.06497930497164477,-2.567713125871721
auditory,mem,MSC04,0.6321428571428571,564,0.8425217391304346,0.055876265879483425,-3.7650848473184055
auditory,mem,MSC05,0.5650000000000001,564,0.7872101449275359,0.05866608404532821,-3.78771054082706
auditory,mem,MSC06,0.5607142857142857,564,0.8349637681159418,0.055383378246418695,-4.951837375853649
auditory,mem,MSC07,0.5892857142857143,564,0.7914637681159422,0.07799410310116951,-2.5922223064476304
auditory,mem,MSC10,0.5671428571428572,564,0.798405797101449,0.052884160292481705,-4.373009586983446
sm,mem,MSC01,0.52,2375,0.8587391304347824,0.04906261607425956,-6.9042207191332405
sm,mem,MSC02,0.6478571428571429,2375,0.8947463768115947,0.045728312399709606,-5.3990453834465075
sm,mem,MSC03,0.6057142857142858,2375,0.7568749999999999,0.05109545507452025,-2.9583984341709746
sm,mem,MSC04,0.7428571428571429,2375,0.9018623188405809,0.03581864399615387,-4.4391735209326075
sm,mem,MSC05,0.685,2375,0.8708043478260872,0.02721680506965028,-6.826824359089795
sm,mem,MSC06,0.7378571428571429,2375,0.916746376811595,0.030548354330640005,-5.8559368540198635
sm,mem,MSC07,0.6707142857142857,2375,0.873913043478261,0.03686894189758053,-5.5113802378285754
sm,mem,MSC10,0.6492857142857142,2375,0.8485072463768111,0.03985870812924529,-4.998193404690987
van,mem,MSC01,0.6178571428571429,3151,0.8663550724637679,0.03886552584249517,-6.3937879192392115
van,mem,MSC02,0.4957142857142857,3151,0.9045434782608706,0.041977572554973815,-9.739229013568668
van,mem,MSC03,0.5728571428571428,3151,0.7575267857142856,0.04592061301670452,-4.021497770292516
van,mem,MSC04,0.715,3151,0.9058115942028988,0.035700833716409114,-5.344737764910976
van,mem,MSC05,0.665,3151,0.8725144927536231,0.022931311330697035,-9.049394941310378
van,mem,MSC06,0.6857142857142857,3151,0.9216739130434791,0.02241971185215901,-10.524650311528005
van,mem,MSC07,0.6621428571428571,3151,0.8786666666666669,0.03300493171183411,-6.56034714491392
van,mem,MSC10,0.5685714285714286,3151,0.8555072463768113,0.03476110080160069,-8.254508953645384
co,mem,MSC01,0.7764285714285715,4060,0.860347826086956,0.03859063142507906,-2.1746017507204507
co,mem,MSC02,0.75,4060,0.9066521739130442,0.036375703434867984,-4.3065056925575504
co,mem,MSC03,0.785,4060,0.7593214285714284,0.04637882366422663,0.5536701753041293
co,mem,MSC04,0.8171428571428572,4060,0.9086811594202903,0.028576008695827125,-3.203327072433323
co,mem,MSC05,0.5457142857142857,4060,0.8776159420289861,0.019450859150791044,-17.063598771738693
co,mem,MSC06,0.7735714285714286,4060,0.923159420289856,0.020273881660178447,-7.378359715507521
co,mem,MSC07,0.6278571428571429,4060,0.8793550724637684,0.030086591633899384,-8.35913661031833
co,mem,MSC10,0.7107142857142857,4060,0.8562608695652171,0.03180452811320164,-4.576284965866758
fp,mem,MSC01,0.5078571428571429,4620,0.8754420289855075,0.032673270857904176,-11.250324086835036
fp,mem,MSC02,0.8757142857142857,4620,0.9107536231884065,0.035151166729356566,-0.9968186189637236
fp,mem,MSC03,0.5885714285714285,4620,0.7563035714285715,0.035046705334939185,-4.785960370714945
fp,mem,MSC04,0.8178571428571428,4620,0.9102826086956529,0.02566484046961015,-3.6012484062759507
fp,mem,MSC05,0.7235714285714285,4620,0.8804782608695655,0.02268704354658578,-6.916142774440532
fp,mem,MSC06,0.7842857142857143,4620,0.9277173913043484,0.016729203291488363,-8.573730291843043
