train,task,same_sub,diff_sub,feature,Null_Network
MSC05,glass,0.95,0.581294964028777,14808,unassign
MSC06,glass,0.7777777777777778,0.5547619047619048,14808,unassign
MSC07,glass,0.9,0.5122302158273382,14808,unassign
MSC10,glass,0.85,0.637410071942446,14808,unassign
MSC01,motor,1.0,0.9181159420289855,14808,unassign
MSC02,motor,0.95,0.5746376811594203,14808,unassign
MSC03,motor,0.95,0.8869565217391304,14808,unassign
MSC04,motor,1.0,0.967391304347826,14808,unassign
MSC05,motor,1.0,0.7905797101449276,14808,unassign
MSC06,motor,1.0,0.812150279776179,14808,unassign
MSC07,motor,1.0,0.8553157474020784,14808,unassign
MSC10,motor,0.95,0.881159420289855,14808,unassign
MSC01,mem,1.0,0.8927536231884058,14808,unassign
MSC02,mem,1.0,0.9485507246376812,14808,unassign
MSC03,mem,0.9375,0.8008928571428572,14808,unassign
MSC04,mem,1.0,0.9384057971014492,14808,unassign
MSC05,mem,1.0,0.8891304347826087,14808,unassign
MSC06,mem,1.0,0.9485507246376812,14808,unassign
MSC07,mem,1.0,0.8898550724637682,14808,unassign
MSC10,mem,1.0,0.9028985507246376,14808,unassign
MSC01,semantic,0.95,0.73,14808,unassign
MSC02,semantic,0.95,0.5385714285714286,14808,unassign
MSC03,semantic,0.9,0.5078571428571428,14808,unassign
MSC04,semantic,0.95,0.785,14808,unassign
MSC05,semantic,0.95,0.7635714285714286,14808,unassign
MSC06,semantic,0.95,0.8035714285714286,14808,unassign
MSC07,semantic,1.0,0.5607142857142857,14808,unassign
MSC10,semantic,0.9,0.7864285714285714,14808,unassign
MSC01,glass,0.9,0.6122302158273382,14808,unassign
MSC02,glass,0.8,0.5215827338129496,14808,unassign
MSC03,glass,0.9,0.518705035971223,14808,unassign
MSC04,glass,1.0,0.7510791366906475,14808,unassign
MSC05,glass,0.95,0.5877697841726619,14808,unassign
MSC06,glass,0.7777777777777778,0.546031746031746,14808,unassign
MSC07,glass,0.9,0.5143884892086331,14808,unassign
MSC10,glass,0.85,0.6467625899280576,14808,unassign
MSC01,motor,1.0,0.908695652173913,14808,unassign
MSC02,motor,0.95,0.5905797101449275,14808,unassign
MSC03,motor,0.95,0.803623188405797,14808,unassign
MSC04,motor,1.0,0.9804347826086957,14808,unassign
MSC05,motor,1.0,0.7905797101449276,14808,unassign
MSC06,motor,1.0,0.7761790567545963,14808,unassign
MSC07,motor,1.0,0.8800959232613909,14808,unassign
MSC10,motor,0.95,0.8659420289855072,14808,unassign
MSC01,mem,1.0,0.8840579710144928,14808,unassign
MSC02,mem,1.0,0.9014492753623189,14808,unassign
MSC03,mem,0.9375,0.6955357142857143,14808,unassign
MSC04,mem,1.0,0.8978260869565218,14808,unassign
MSC05,mem,1.0,0.8833333333333333,14808,unassign
MSC06,mem,1.0,0.95,14808,unassign
MSC07,mem,1.0,0.8855072463768116,14808,unassign
MSC10,mem,1.0,0.8731884057971014,14808,unassign
MSC01,semantic,0.95,0.7521428571428571,14808,unassign
MSC02,semantic,0.95,0.5264285714285715,14808,unassign
MSC03,semantic,0.9,0.5035714285714286,14808,unassign
MSC04,semantic,0.95,0.6714285714285715,14808,unassign
MSC05,semantic,0.95,0.7557142857142858,14808,unassign
MSC06,semantic,0.95,0.7771428571428571,14808,unassign
MSC07,semantic,1.0,0.5635714285714286,14808,unassign
MSC10,semantic,0.85,0.7364285714285714,14808,unassign
MSC01,glass,0.9,0.6093525179856115,14808,unassign
MSC02,glass,0.8,0.5143884892086331,14808,unassign
MSC03,glass,0.85,0.5194244604316547,14808,unassign
MSC04,glass,1.0,0.6798561151079137,14808,unassign
MSC05,glass,0.95,0.5748201438848921,14808,unassign
MSC06,glass,0.8333333333333334,0.5746031746031746,14808,unassign
MSC07,glass,0.9,0.5172661870503598,14808,unassign
MSC10,glass,0.85,0.6352517985611511,14808,unassign
MSC01,motor,1.0,0.9304347826086956,14808,unassign
MSC02,motor,0.95,0.5565217391304348,14808,unassign
MSC03,motor,0.95,0.8543478260869566,14808,unassign
MSC04,motor,1.0,0.9688405797101449,14808,unassign
MSC05,motor,1.0,0.7898550724637681,14808,unassign
MSC06,motor,1.0,0.78017585931255,14808,unassign
MSC07,motor,1.0,0.8545163868904876,14808,unassign
MSC10,motor,0.95,0.8586956521739131,14808,unassign
MSC01,mem,1.0,0.8891304347826087,14808,unassign
MSC02,mem,1.0,0.9144927536231884,14808,unassign
MSC03,mem,1.0,0.7133928571428572,14808,unassign
MSC04,mem,1.0,0.9282608695652174,14808,unassign
MSC05,mem,1.0,0.8963768115942029,14808,unassign
MSC06,mem,1.0,0.9528985507246377,14808,unassign
MSC07,mem,1.0,0.8847826086956522,14808,unassign
MSC10,mem,1.0,0.8768115942028986,14808,unassign
MSC01,semantic,0.95,0.7221428571428572,14808,unassign
MSC02,semantic,0.9,0.5392857142857143,14808,unassign
MSC03,semantic,0.9,0.51,14808,unassign
MSC04,semantic,0.95,0.7,14808,unassign
MSC05,semantic,0.95,0.725,14808,unassign
MSC06,semantic,1.0,0.7607142857142857,14808,unassign
MSC07,semantic,1.0,0.56,14808,unassign
MSC10,semantic,0.9,0.7778571428571428,14808,unassign
MSC01,glass,0.9,0.6115107913669064,14808,unassign
MSC02,glass,0.8,0.5251798561151079,14808,unassign
MSC03,glass,0.95,0.5201438848920863,14808,unassign
MSC04,glass,0.95,0.6726618705035972,14808,unassign
MSC05,glass,0.95,0.5661870503597123,14808,unassign
MSC06,glass,0.8333333333333334,0.5634920634920635,14808,unassign
MSC07,glass,0.9,0.5201438848920863,14808,unassign
MSC10,glass,0.85,0.6956834532374101,14808,unassign
MSC01,motor,1.0,0.9202898550724637,14808,unassign
MSC02,motor,0.95,0.5731884057971015,14808,unassign
MSC03,motor,0.95,0.8673913043478261,14808,unassign
MSC04,motor,1.0,0.9666666666666667,14808,unassign
MSC05,motor,1.0,0.7427536231884058,14808,unassign
MSC06,motor,1.0,0.8177458033573142,14808,unassign
MSC07,motor,1.0,0.8721023181454837,14808,unassign
MSC10,motor,0.95,0.8992753623188405,14808,unassign
MSC01,mem,1.0,0.8840579710144928,14808,unassign
MSC02,mem,1.0,0.9326086956521739,14808,unassign
MSC03,mem,0.9375,0.7535714285714286,14808,unassign
MSC04,mem,1.0,0.9173913043478261,14808,unassign
MSC05,mem,1.0,0.9028985507246376,14808,unassign
MSC06,mem,1.0,0.9449275362318841,14808,unassign
MSC07,mem,1.0,0.8586956521739131,14808,unassign
MSC10,mem,0.95,0.8492753623188406,14808,unassign
MSC01,semantic,0.95,0.7464285714285714,14808,unassign
MSC02,semantic,0.95,0.5457142857142857,14808,unassign
MSC03,semantic,0.9,0.5178571428571428,14808,unassign
MSC04,semantic,0.95,0.7114285714285714,14808,unassign
MSC05,semantic,0.95,0.7778571428571428,14808,unassign
MSC06,semantic,0.9,0.775,14808,unassign
MSC07,semantic,1.0,0.5528571428571428,14808,unassign
MSC10,semantic,0.9,0.765,14808,unassign
MSC01,glass,0.9,0.6294964028776978,14808,unassign
MSC02,glass,0.8,0.5244604316546763,14808,unassign
MSC03,glass,0.9,0.5194244604316547,14808,unassign
MSC04,glass,1.0,0.7071942446043166,14808,unassign
MSC05,glass,0.95,0.5863309352517986,14808,unassign
MSC06,glass,0.7777777777777778,0.5365079365079365,14808,unassign
MSC07,glass,0.9,0.5107913669064749,14808,unassign
MSC10,glass,0.85,0.6827338129496403,14808,unassign
MSC01,motor,1.0,0.9130434782608695,14808,unassign
MSC02,motor,0.95,0.5630434782608695,14808,unassign
MSC03,motor,0.95,0.886231884057971,14808,unassign
MSC04,motor,1.0,0.9688405797101449,14808,unassign
MSC05,motor,1.0,0.7971014492753623,14808,unassign
MSC06,motor,1.0,0.8161470823341327,14808,unassign
MSC07,motor,1.0,0.873701039168665,14808,unassign
MSC10,motor,0.95,0.8818840579710145,14808,unassign
MSC01,mem,1.0,0.8855072463768116,14808,unassign
MSC02,mem,1.0,0.9456521739130435,14808,unassign
MSC03,mem,0.9375,0.7491071428571429,14808,unassign
MSC04,mem,1.0,0.9188405797101449,14808,unassign
MSC05,mem,1.0,0.8739130434782608,14808,unassign
MSC06,mem,1.0,0.9442028985507246,14808,unassign
MSC07,mem,1.0,0.9014492753623189,14808,unassign
MSC10,mem,0.95,0.8884057971014493,14808,unassign
MSC01,semantic,0.95,0.7442857142857143,14808,unassign
MSC02,semantic,0.9,0.5385714285714286,14808,unassign
MSC03,semantic,0.9,0.5085714285714286,14808,unassign
MSC04,semantic,0.95,0.7164285714285714,14808,unassign
MSC05,semantic,0.95,0.7421428571428571,14808,unassign
MSC06,semantic,0.95,0.7664285714285715,14808,unassign
MSC07,semantic,1.0,0.5578571428571428,14808,unassign
MSC10,semantic,0.9,0.7407142857142858,14808,unassign
MSC01,glass,0.9,0.6244604316546762,14808,unassign
MSC02,glass,0.8,0.5330935251798561,14808,unassign
MSC03,glass,0.9,0.5158273381294964,14808,unassign
MSC04,glass,0.95,0.6870503597122302,14808,unassign
MSC05,glass,0.9,0.5517985611510792,14808,unassign
MSC06,glass,0.7777777777777778,0.5547619047619048,14808,unassign
MSC07,glass,0.9,0.5179856115107914,14808,unassign
MSC10,glass,0.9,0.6129496402877698,14808,unassign
MSC01,motor,1.0,0.9333333333333333,14808,unassign
MSC02,motor,0.95,0.605072463768116,14808,unassign
MSC03,motor,0.95,0.8173913043478261,14808,unassign
MSC04,motor,1.0,0.9789855072463768,14808,unassign
MSC05,motor,1.0,0.7420289855072464,14808,unassign
MSC06,motor,1.0,0.8081534772182254,14808,unassign
MSC07,motor,0.9444444444444444,0.8625099920063949,14808,unassign
MSC10,motor,0.95,0.8579710144927536,14808,unassign
MSC01,mem,1.0,0.8891304347826087,14808,unassign
MSC02,mem,1.0,0.8847826086956522,14808,unassign
MSC03,mem,0.9375,0.7571428571428571,14808,unassign
MSC04,mem,1.0,0.9152173913043479,14808,unassign
MSC05,mem,1.0,0.9108695652173913,14808,unassign
MSC06,mem,1.0,0.9463768115942028,14808,unassign
MSC07,mem,1.0,0.8666666666666667,14808,unassign
MSC10,mem,0.95,0.8789855072463768,14808,unassign
MSC01,semantic,0.95,0.7185714285714285,14808,unassign
MSC02,semantic,0.95,0.5392857142857143,14808,unassign
MSC03,semantic,0.95,0.5021428571428571,14808,unassign
MSC04,semantic,0.95,0.6864285714285714,14808,unassign
MSC05,semantic,0.95,0.7507142857142857,14808,unassign
MSC06,semantic,0.9,0.7971428571428572,14808,unassign
MSC07,semantic,1.0,0.5442857142857143,14808,unassign
MSC10,semantic,0.9,0.7571428571428571,14808,unassign
MSC01,glass,0.9,0.6158273381294964,14808,unassign
MSC02,glass,0.8,0.5294964028776978,14808,unassign
MSC03,glass,0.9,0.5179856115107914,14808,unassign
MSC04,glass,0.95,0.7007194244604317,14808,unassign
MSC05,glass,0.9,0.5755395683453237,14808,unassign
MSC06,glass,0.8333333333333334,0.5738095238095238,14808,unassign
MSC07,glass,0.9,0.5129496402877698,14808,unassign
MSC10,glass,0.8,0.6194244604316547,14808,unassign
MSC01,motor,1.0,0.8971014492753623,14808,unassign
MSC02,motor,0.95,0.5978260869565217,14808,unassign
MSC03,motor,0.95,0.8485507246376811,14808,unassign
MSC04,motor,1.0,0.9688405797101449,14808,unassign
MSC05,motor,1.0,0.7521739130434782,14808,unassign
MSC06,motor,1.0,0.812150279776179,14808,unassign
MSC07,motor,1.0,0.8673061550759392,14808,unassign
MSC10,motor,0.95,0.8456521739130435,14808,unassign
MSC01,mem,1.0,0.8876811594202899,14808,unassign
MSC02,mem,1.0,0.8768115942028986,14808,unassign
MSC03,mem,0.9375,0.7473214285714286,14808,unassign
MSC04,mem,1.0,0.9108695652173913,14808,unassign
MSC05,mem,1.0,0.9094202898550724,14808,unassign
MSC06,mem,1.0,0.9123188405797101,14808,unassign
MSC07,mem,1.0,0.9079710144927536,14808,unassign
MSC10,mem,1.0,0.9065217391304348,14808,unassign
MSC01,semantic,0.95,0.7614285714285715,14808,unassign
MSC02,semantic,0.9,0.5321428571428571,14808,unassign
MSC03,semantic,0.9,0.5014285714285714,14808,unassign
MSC04,semantic,0.95,0.7385714285714285,14808,unassign
MSC05,semantic,0.95,0.7978571428571428,14808,unassign
MSC06,semantic,1.0,0.7507142857142857,14808,unassign
MSC07,semantic,1.0,0.5464285714285715,14808,unassign
MSC10,semantic,0.9,0.7685714285714286,14808,unassign
MSC01,glass,0.9,0.6460431654676259,14808,unassign
MSC02,glass,0.75,0.5151079136690647,14808,unassign
