train,task,same_sub,diff,feature,Network
MSC03,glass,0.75,0.725,auditory,564
MSC04,glass,0.8,0.7424999999999999,auditory,564
MSC05,glass,0.7,0.5525,auditory,564
MSC06,glass,0.9444444444444444,0.5611111111111111,auditory,564
MSC07,glass,0.9,0.6225,auditory,564
MSC10,glass,0.9,0.7775,auditory,564
MSC01,motor,0.95,0.8825000000000001,auditory,564
MSC02,motor,0.9,0.52,auditory,564
MSC03,motor,0.9,0.69,auditory,564
MSC04,motor,0.9,0.53,auditory,564
MSC05,motor,0.75,0.525,auditory,564
MSC06,motor,0.85,0.4794871794871795,auditory,564
MSC07,motor,0.95,0.4175,auditory,564
MSC10,motor,0.95,0.7,auditory,564
MSC01,mem,0.95,0.895,auditory,564
MSC02,mem,0.95,0.6075,auditory,564
MSC03,mem,0.9,0.7175,auditory,564
MSC04,mem,1.0,0.6799999999999999,auditory,564
MSC05,mem,0.85,0.6825,auditory,564
MSC06,mem,0.8,0.7589743589743589,auditory,564
MSC07,mem,0.9,0.6875,auditory,564
MSC10,mem,0.85,0.7875,auditory,564
MSC01,semantic,0.85,0.7324999999999999,pmn,45
MSC02,semantic,0.75,0.43,pmn,45
MSC03,semantic,0.75,0.46499999999999997,pmn,45
MSC04,semantic,0.85,0.56,pmn,45
MSC05,semantic,0.65,0.615,pmn,45
MSC06,semantic,0.95,0.5358974358974359,pmn,45
MSC07,semantic,0.85,0.645,pmn,45
MSC10,semantic,0.85,0.6725,pmn,45
MSC01,glass,0.85,0.7775,pmn,45
MSC02,glass,0.7,0.53,pmn,45
MSC03,glass,0.65,0.495,pmn,45
MSC04,glass,0.85,0.7375,pmn,45
MSC05,glass,0.5,0.715,pmn,45
MSC06,glass,0.7777777777777778,0.6333333333333333,pmn,45
MSC07,glass,0.65,0.68,pmn,45
MSC10,glass,0.9,0.6075,pmn,45
MSC01,motor,0.75,0.5875,pmn,45
MSC02,motor,0.8,0.4925,pmn,45
MSC03,motor,0.85,0.4125,pmn,45
MSC04,motor,0.75,0.6075,pmn,45
MSC05,motor,0.9,0.51,pmn,45
MSC06,motor,0.9,0.576923076923077,pmn,45
MSC07,motor,0.8,0.565,pmn,45
MSC10,motor,1.0,0.66,pmn,45
MSC01,mem,0.9,0.735,pmn,45
MSC02,mem,0.6,0.49,pmn,45
MSC03,mem,0.75,0.4075,pmn,45
MSC04,mem,0.95,0.6075,pmn,45
MSC05,mem,0.95,0.585,pmn,45
MSC06,mem,0.7,0.764102564102564,pmn,45
MSC07,mem,0.75,0.8375,pmn,45
MSC10,mem,0.75,0.8125,pmn,45
MSC01,semantic,0.75,0.775,pon,21
MSC02,semantic,0.85,0.605,pon,21
MSC03,semantic,0.85,0.6174999999999999,pon,21
MSC04,semantic,0.9,0.5725,pon,21
MSC05,semantic,0.85,0.5225,pon,21
MSC06,semantic,0.9,0.6076923076923078,pon,21
MSC07,semantic,0.75,0.58,pon,21
MSC10,semantic,0.85,0.545,pon,21
MSC01,glass,0.8,0.7475,pon,21
MSC02,glass,0.8,0.69,pon,21
MSC03,glass,0.9,0.68,pon,21
MSC04,glass,0.8,0.6875,pon,21
MSC05,glass,0.7,0.57,pon,21
MSC06,glass,0.9444444444444444,0.5972222222222222,pon,21
MSC07,glass,0.7,0.5825,pon,21
MSC10,glass,0.75,0.57,pon,21
MSC01,motor,0.9,0.7625,pon,21
MSC02,motor,0.8,0.695,pon,21
MSC03,motor,0.9,0.705,pon,21
MSC04,motor,0.7,0.7175,pon,21
MSC05,motor,0.5,0.7225,pon,21
MSC06,motor,0.95,0.5358974358974359,pon,21
MSC07,motor,0.75,0.5625,pon,21
MSC10,motor,0.65,0.6174999999999999,pon,21
MSC01,mem,0.85,0.775,pon,21
MSC02,mem,0.65,0.65,pon,21
MSC03,mem,0.75,0.705,pon,21
MSC04,mem,0.55,0.8625,pon,21
MSC05,mem,0.5,0.7075,pon,21
MSC06,mem,0.7,0.7538461538461538,pon,21
MSC07,mem,0.5,0.57,pon,21
MSC10,mem,0.8,0.5625,pon,21
