,train,task,same_sub,diff_sub,Network_A,Network_B
0,MSC07,motor,0.8888888888888888,0.5787370103916867,dan,dan
0,MSC10,motor,0.95,0.5884057971014492,dan,dan
0,MSC01,mem,1.0,0.4956521739130435,dan,dan
0,MSC02,mem,1.0,0.5043478260869565,dan,dan
0,MSC03,mem,0.9375,0.6464285714285714,dan,dan
0,MSC04,mem,0.95,0.49420289855072463,dan,dan
0,MSC05,mem,1.0,0.48768115942028983,dan,dan
0,MSC06,mem,1.0,0.6688405797101449,dan,dan
0,MSC07,mem,0.95,0.6115942028985507,dan,dan
0,MSC10,mem,0.95,0.6847826086956522,dan,dan
0,MSC01,semantic,0.95,0.6964285714285714,van,van
0,MSC02,semantic,1.0,0.6071428571428572,van,van
0,MSC03,semantic,0.85,0.565,van,van
0,MSC04,semantic,0.95,0.5642857142857143,van,van
0,MSC05,semantic,0.95,0.5757142857142857,van,van
0,MSC06,semantic,0.8,0.5028571428571429,van,van
0,MSC07,semantic,0.95,0.6864285714285714,van,van
0,MSC10,semantic,0.8,0.5542857142857143,van,van
0,MSC01,glass,0.75,0.50431654676259,van,van
0,MSC02,glass,0.65,0.5971223021582733,van,van
0,MSC03,glass,0.75,0.5359712230215827,van,van
0,MSC04,glass,1.0,0.5057553956834533,van,van
0,MSC05,glass,0.75,0.6223021582733813,van,van
0,MSC06,glass,0.8888888888888888,0.5976190476190476,van,van
0,MSC07,glass,0.9,0.5539568345323741,van,van
0,MSC10,glass,0.9,0.47985611510791365,van,van
0,MSC01,motor,0.9,0.5543478260869565,van,van
0,MSC02,motor,0.95,0.6471014492753623,van,van
0,MSC03,motor,1.0,0.5384057971014493,van,van
0,MSC04,motor,0.95,0.6144927536231883,van,van
0,MSC05,motor,0.9,0.5398550724637681,van,van
0,MSC06,motor,0.7222222222222222,0.6235011990407674,van,van
0,MSC07,motor,0.8888888888888888,0.4980015987210232,van,van
0,MSC10,motor,0.9,0.5572463768115942,van,van
0,MSC01,mem,0.85,0.5869565217391304,van,van
0,MSC02,mem,1.0,0.5318840579710145,van,van
0,MSC03,mem,0.875,0.5901785714285714,van,van
0,MSC04,mem,0.9,0.5557971014492754,van,van
0,MSC05,mem,1.0,0.5405797101449276,van,van
0,MSC06,mem,0.95,0.5557971014492753,van,van
0,MSC07,mem,0.9,0.6202898550724638,van,van
0,MSC10,mem,1.0,0.6,van,van
0,MSC01,semantic,0.7,0.6121428571428571,salience,salience
0,MSC02,semantic,0.55,0.535,salience,salience
0,MSC03,semantic,0.7,0.5857142857142857,salience,salience
