train_task,test_task,train_sub,test_sub,acc
mixed,mem,MSC07,MSC05,0.5700000000000001
motor,mixed,MSC07,MSC05,0.725
motor,mem,MSC07,MSC05,0.73
mem,mixed,MSC07,MSC05,0.7700000000000002
mem,motor,MSC07,MSC05,0.78
mixed,motor,MSC07,MSC06,0.545
mixed,mem,MSC07,MSC06,0.62
motor,mixed,MSC07,MSC06,0.59
motor,mem,MSC07,MSC06,0.595
mem,mixed,MSC07,MSC06,0.785
mem,motor,MSC07,MSC06,0.89
mixed,motor,MSC07,MSC10,0.5700000000000001
mixed,mem,MSC07,MSC10,0.5349999999999999
motor,mixed,MSC07,MSC10,0.7699999999999999
motor,mem,MSC07,MSC10,0.78
mem,mixed,MSC07,MSC10,0.705
mem,motor,MSC07,MSC10,0.6900000000000002
mixed,motor,MSC10,MSC01,0.57
mixed,mem,MSC10,MSC01,0.575
motor,mixed,MSC10,MSC01,0.8099999999999999
motor,mem,MSC10,MSC01,0.75
mem,mixed,MSC10,MSC01,0.72
mem,motor,MSC10,MSC01,0.795
mixed,motor,MSC10,MSC02,0.4
mixed,mem,MSC10,MSC02,0.6849999999999999
motor,mixed,MSC10,MSC02,0.5149999999999999
motor,mem,MSC10,MSC02,0.59
mem,mixed,MSC10,MSC02,0.4750000000000001
mem,motor,MSC10,MSC02,0.5599999999999999
mixed,motor,MSC10,MSC03,0.74
mixed,mem,MSC10,MSC03,0.8400000000000001
motor,mixed,MSC10,MSC03,0.5499999999999999
motor,mem,MSC10,MSC03,0.6900000000000001
mem,mixed,MSC10,MSC03,0.6899999999999998
mem,motor,MSC10,MSC03,0.89
mixed,motor,MSC10,MSC04,0.665
mixed,mem,MSC10,MSC04,0.8399999999999999
motor,mixed,MSC10,MSC04,0.51
motor,mem,MSC10,MSC04,0.6750000000000002
mem,mixed,MSC10,MSC04,0.72
mem,motor,MSC10,MSC04,0.7699999999999999
mixed,motor,MSC10,MSC05,0.3450000000000001
mixed,mem,MSC10,MSC05,0.575
motor,mixed,MSC10,MSC05,0.76
motor,mem,MSC10,MSC05,0.7649999999999999
mem,mixed,MSC10,MSC05,0.6450000000000001
mem,motor,MSC10,MSC05,0.6250000000000001
mixed,motor,MSC10,MSC06,0.5799999999999998
mixed,mem,MSC10,MSC06,0.655
motor,mixed,MSC10,MSC06,0.5599999999999999
motor,mem,MSC10,MSC06,0.5599999999999999
mem,mixed,MSC10,MSC06,0.735
mem,motor,MSC10,MSC06,0.745
mixed,motor,MSC10,MSC07,0.825
mixed,mem,MSC10,MSC07,0.5399999999999998
motor,mixed,MSC10,MSC07,0.5
motor,mem,MSC10,MSC07,0.5499999999999999
mem,mixed,MSC10,MSC07,0.5349999999999999
mem,motor,MSC10,MSC07,0.7350000000000001
