sub,train_task,test_task,acc,frames
MSC05,mem,mixed,0.8049999999999999,59
MSC06,mem,mixed,0.5850000000000001,59
MSC07,mem,mixed,0.6849999999999999,59
MSC02,mem,mixed,0.5250000000000001,59
MSC05,mem,mixed,0.8049999999999999,59
MSC06,mem,mixed,0.5850000000000001,59
MSC07,mem,mixed,0.6849999999999999,59
MSC02,mem,mixed,0.5200000000000001,60
MSC05,mem,mixed,0.82,60
MSC06,mem,mixed,0.6,60
MSC07,mem,mixed,0.665,60
MSC02,mem,mixed,0.5200000000000001,60
MSC05,mem,mixed,0.82,60
MSC06,mem,mixed,0.6,60
MSC07,mem,mixed,0.665,60
MSC02,mem,mixed,0.5200000000000001,60
MSC05,mem,mixed,0.82,60
MSC06,mem,mixed,0.6,60
MSC07,mem,mixed,0.665,60
MSC02,mem,mixed,0.5200000000000001,60
MSC05,mem,mixed,0.82,60
MSC06,mem,mixed,0.6,60
MSC07,mem,mixed,0.665,60
MSC02,mem,mixed,0.5200000000000001,60
MSC05,mem,mixed,0.82,60
MSC06,mem,mixed,0.6,60
MSC07,mem,mixed,0.665,60
MSC02,mem,mixed,0.5200000000000001,60
MSC05,mem,mixed,0.82,60
MSC06,mem,mixed,0.6,60
MSC07,mem,mixed,0.665,60
MSC02,mem,mixed,0.5200000000000001,60
MSC05,mem,mixed,0.82,60
MSC06,mem,mixed,0.6,60
MSC07,mem,mixed,0.665,60
MSC02,mem,mixed,0.5200000000000001,60
MSC05,mem,mixed,0.82,60
MSC06,mem,mixed,0.6,60
MSC07,mem,mixed,0.665,60
MSC02,mem,mixed,0.5200000000000001,60
MSC05,mem,mixed,0.82,60
MSC06,mem,mixed,0.6,60
MSC07,mem,mixed,0.665,60
MSC02,mem,mixed,0.5250000000000001,61
MSC05,mem,mixed,0.8300000000000001,61
MSC06,mem,mixed,0.6833333333333333,61
MSC07,mem,mixed,0.655,61
MSC02,mem,mixed,0.5250000000000001,61
MSC05,mem,mixed,0.8300000000000001,61
MSC06,mem,mixed,0.6833333333333333,61
MSC07,mem,mixed,0.655,61
MSC02,mem,mixed,0.5250000000000001,61
MSC05,mem,mixed,0.8300000000000001,61
MSC06,mem,mixed,0.6833333333333333,61
MSC07,mem,mixed,0.655,61
MSC02,mem,mixed,0.5250000000000001,61
MSC05,mem,mixed,0.8300000000000001,61
MSC06,mem,mixed,0.6833333333333333,61
MSC07,mem,mixed,0.655,61
MSC02,mem,mixed,0.5250000000000001,61
MSC05,mem,mixed,0.8300000000000001,61
MSC06,mem,mixed,0.6833333333333333,61
MSC07,mem,mixed,0.655,61
MSC02,mem,mixed,0.5250000000000001,61
MSC05,mem,mixed,0.8300000000000001,61
MSC06,mem,mixed,0.6833333333333333,61
MSC07,mem,mixed,0.655,61
MSC02,mem,mixed,0.5250000000000001,61
MSC05,mem,mixed,0.8300000000000001,61
