train_task,test_task,diff
mem,motor,0.009374999999999991
mixed,mem,-0.043125000000000004
mixed,motor,-0.04053571428571431
motor,mem,-0.014107142857142874
motor,mixed,-0.014196428571428608
mem,mixed,0.03741071428571429
mem,motor,0.03669642857142857
mixed,mem,0.008124999999999993
mixed,motor,0.00866071428571427
motor,mem,0.013124999999999984
motor,mixed,0.0034821428571428503
mem,mixed,0.012857142857142853
mem,motor,0.027053571428571434
mixed,mem,-0.00339285714285713
mixed,motor,0.016071428571428566
motor,mem,-0.00125000000000001
motor,mixed,0.00473214285714285
mem,mixed,-0.008571428571428568
mem,motor,0.003125000000000005
mixed,mem,0.0061607142857142754
mixed,motor,-0.010267857142857153
motor,mem,-0.010357142857142851
motor,mixed,-0.009464285714285712
mem,mixed,-0.009107142857142859
mem,motor,0.017053571428571435
mixed,mem,-0.012589285714285709
mixed,motor,-0.0188392857142857
motor,mem,0.024107142857142848
motor,mixed,0.009821428571428576
mem,mixed,0.018482142857142853
mem,motor,0.019464285714285715
mixed,mem,0.007321428571428565
mixed,motor,0.017321428571428578
motor,mem,0.006339285714285717
motor,mixed,-0.016250000000000007
mem,mixed,-0.026071428571428572
mem,motor,-0.022410714285714294
mixed,mem,-0.022499999999999996
mixed,motor,0.018928571428571423
motor,mem,-0.024553571428571445
motor,mixed,-0.01964285714285716
mem,mixed,0.003660714285714277
mem,motor,0.01687499999999999
mixed,mem,0.023125000000000014
mixed,motor,-0.009285714285714262
motor,mem,-0.006517857142857137
motor,mixed,-0.027499999999999993
mem,mixed,0.0007142857142857188
mem,motor,0.025625000000000002
mixed,mem,-0.007321428571428573
mixed,motor,-0.008571428571428565
motor,mem,0.012142857142857134
motor,mixed,-0.0077678571428571675
mem,mixed,-0.033928571428571426
mem,motor,0.010624999999999996
mixed,mem,-0.036875000000000005
mixed,motor,-0.01464285714285714
motor,mem,0.021428571428571443
motor,mixed,0.0242857142857143
mem,mixed,0.048214285714285716
mem,motor,0.020892857142857133
mixed,mem,-0.0016071428571428675
mixed,motor,0.010714285714285728
motor,mem,-0.024732142857142845
motor,mixed,-0.028571428571428564
mem,mixed,-0.017678571428571422
mem,motor,-0.005089285714285703
mixed,mem,0.009196428571428559
mixed,motor,0.017232142857142852
motor,mem,0.00946428571428569
motor,mixed,0.0015178571428571363
mem,mixed,0.004196428571428598
mem,motor,0.01616071428571429
mixed,mem,0.003124999999999993
mixed,motor,-0.010446428571428577
motor,mem,-0.01687500000000001
motor,mixed,-0.03651785714285715
mem,mixed,0.016249999999999987
mem,motor,-0.019732142857142865
mixed,mem,0.004553571428571436
mixed,motor,-0.03919642857142857
motor,mem,-0.014017857142857143
motor,mixed,0.00017857142857143172
mem,mixed,-0.004196428571428568
mem,motor,0.012767857142857145
mixed,mem,-0.0001785714285714307
mixed,motor,0.02249999999999999
motor,mem,0.009821428571428552
motor,mixed,0.02196428571428569
mem,mixed,0.012053571428571445
mem,motor,0.04482142857142859
mixed,mem,0.01660714285714285
mixed,motor,0.02482142857142857
motor,mem,0.0023214285714285863
motor,mixed,-0.01383928571428571
mem,mixed,-0.0136607142857143
mem,motor,-0.01794642857142858
mixed,mem,-0.012678571428571445
mixed,motor,0.003660714285714287
motor,mem,-0.007589285714285714
motor,mixed,-0.027232142857142854
mem,mixed,0.020714285714285716
mem,motor,0.03508928571428571
mixed,mem,-0.030446428571428562
mixed,motor,0.006607142857142853
motor,mem,-0.03803571428571428
motor,mixed,-0.02080357142857141
mem,mixed,-0.0032142857142857012
mem,motor,-0.008571428571428572
mixed,mem,-0.023749999999999986
mixed,motor,-0.025357142857142856
motor,mem,0.022053571428571405
motor,mixed,0.025714285714285707
mem,mixed,-0.009017857142857145
mem,motor,0.03017857142857144
mixed,mem,-0.0018750000000000027
mixed,motor,-0.004642857142857151
motor,mem,-0.005982142857142854
motor,mixed,-0.015357142857142856
mem,mixed,-0.014375
mem,motor,-0.007500000000000014
mixed,mem,0.013482142857142871
mixed,motor,0.023750000000000018
motor,mem,0.004642857142857152
motor,mixed,-0.009553571428571416
mem,mixed,-0.035178571428571455
mem,motor,-0.03687500000000001
mixed,mem,0.007142857142857138
mixed,motor,0.005446428571428574
motor,mem,0.02107142857142858
motor,mixed,0.00928571428571428
mem,mixed,0.02044642857142858
mem,motor,0.005624999999999994
mixed,mem,0.0056249999999999885
mixed,motor,-0.023035714285714277
motor,mem,0.0022321428571428583
motor,mixed,0.0027678571428571474
mem,mixed,-0.02169642857142856
mem,motor,0.00125
mixed,mem,0.011428571428571442
mixed,motor,0.039375000000000014
motor,mem,-0.012321428571428582
motor,mixed,0.004285714285714273
mem,mixed,0.011875000000000009
mem,motor,0.0002678571428571421
mixed,mem,-0.00705357142857143
mixed,motor,0.02874999999999999
motor,mem,0.028124999999999987
motor,mixed,0.035714285714285705
