sub,acc,train_task,test_task,iteration
MSC10,0.49500000000000005,motor,mixed,6
MSC01,0.49571428571428566,motor,mem,6
MSC02,0.5099999999999999,motor,mem,6
MSC03,0.5242857142857142,motor,mem,6
MSC04,0.4835714285714286,motor,mem,6
MSC05,0.5135714285714286,motor,mem,6
MSC06,0.48142857142857143,motor,mem,6
MSC07,0.4900000000000001,motor,mem,6
MSC10,0.5114285714285715,motor,mem,6
MSC01,0.5128571428571428,mixed,mem,7
MSC02,0.5235714285714286,mixed,mem,7
MSC03,0.5042857142857143,mixed,mem,7
MSC04,0.5085714285714286,mixed,mem,7
MSC05,0.5042857142857143,mixed,mem,7
MSC06,0.5035714285714284,mixed,mem,7
MSC07,0.51,mixed,mem,7
MSC10,0.5149999999999999,mixed,mem,7
MSC01,0.4914285714285714,mixed,motor,7
MSC02,0.4942857142857142,mixed,motor,7
MSC03,0.5064285714285715,mixed,motor,7
MSC04,0.5064285714285713,mixed,motor,7
MSC05,0.5171428571428571,mixed,motor,7
MSC06,0.49571428571428566,mixed,motor,7
MSC07,0.4871428571428572,mixed,motor,7
MSC10,0.4842857142857143,mixed,motor,7
MSC01,0.4985714285714286,mem,mixed,7
MSC02,0.4864285714285714,mem,mixed,7
MSC03,0.51,mem,mixed,7
MSC04,0.5078571428571429,mem,mixed,7
MSC05,0.46142857142857147,mem,mixed,7
MSC06,0.47357142857142864,mem,mixed,7
MSC07,0.51,mem,mixed,7
MSC10,0.5007142857142857,mem,mixed,7
MSC01,0.51,mem,motor,7
MSC02,0.512142857142857,mem,motor,7
MSC03,0.5221428571428571,mem,motor,7
MSC04,0.5107142857142858,mem,motor,7
MSC05,0.4992857142857143,mem,motor,7
MSC06,0.4992857142857142,mem,motor,7
MSC07,0.5021428571428571,mem,motor,7
MSC10,0.5314285714285714,mem,motor,7
MSC01,0.48857142857142855,motor,mixed,7
MSC02,0.4907142857142857,motor,mixed,7
MSC03,0.5142857142857143,motor,mixed,7
MSC04,0.4992857142857143,motor,mixed,7
MSC05,0.49714285714285716,motor,mixed,7
MSC06,0.4835714285714286,motor,mixed,7
MSC07,0.5085714285714286,motor,mixed,7
MSC10,0.49785714285714283,motor,mixed,7
MSC01,0.47285714285714286,motor,mem,7
MSC02,0.5278571428571429,motor,mem,7
MSC03,0.5071428571428571,motor,mem,7
MSC04,0.4857142857142857,motor,mem,7
MSC05,0.4971428571428572,motor,mem,7
MSC06,0.4942857142857143,motor,mem,7
MSC07,0.5042857142857143,motor,mem,7
MSC10,0.5264285714285715,motor,mem,7
MSC01,0.5028571428571429,mixed,mem,8
MSC02,0.5028571428571429,mixed,mem,8
MSC03,0.5114285714285715,mixed,mem,8
MSC04,0.5000000000000001,mixed,mem,8
MSC05,0.5121428571428571,mixed,mem,8
MSC06,0.48999999999999994,mixed,mem,8
MSC07,0.47928571428571437,mixed,mem,8
MSC10,0.5064285714285715,mixed,mem,8
MSC01,0.485,mixed,motor,8
MSC02,0.515,mixed,motor,8
MSC03,0.4871428571428571,mixed,motor,8
MSC04,0.5199999999999999,mixed,motor,8
MSC05,0.4964285714285715,mixed,motor,8
MSC06,0.4957142857142857,mixed,motor,8
MSC07,0.48928571428571427,mixed,motor,8
MSC10,0.49500000000000005,mixed,motor,8
MSC01,0.5035714285714287,mem,mixed,8
MSC02,0.5007142857142857,mem,mixed,8
MSC03,0.5121428571428571,mem,mixed,8
MSC04,0.5064285714285715,mem,mixed,8
MSC05,0.5285714285714286,mem,mixed,8
MSC06,0.5085714285714287,mem,mixed,8
MSC07,0.5114285714285715,mem,mixed,8
MSC10,0.4985714285714286,mem,mixed,8
MSC01,0.5192857142857144,mem,motor,8
MSC02,0.5164285714285713,mem,motor,8
MSC03,0.5085714285714286,mem,motor,8
MSC04,0.4678571428571429,mem,motor,8
MSC05,0.5192857142857144,mem,motor,8
MSC06,0.4957142857142857,mem,motor,8
MSC07,0.5142857142857142,mem,motor,8
MSC10,0.5107142857142858,mem,motor,8
MSC01,0.5149999999999999,motor,mixed,8
MSC02,0.5264285714285714,motor,mixed,8
MSC03,0.4907142857142857,motor,mixed,8
MSC04,0.5164285714285713,motor,mixed,8
MSC05,0.505,motor,mixed,8
MSC06,0.5121428571428571,motor,mixed,8
MSC07,0.4978571428571428,motor,mixed,8
MSC10,0.48857142857142855,motor,mixed,8
MSC01,0.48142857142857143,motor,mem,8
MSC02,0.5064285714285715,motor,mem,8
MSC03,0.5021428571428571,motor,mem,8
MSC04,0.4907142857142857,motor,mem,8
MSC05,0.5042857142857143,motor,mem,8
MSC06,0.5149999999999999,motor,mem,8
MSC07,0.47928571428571437,motor,mem,8
MSC10,0.4928571428571428,motor,mem,8
MSC01,0.5164285714285715,mixed,mem,9
MSC02,0.4621428571428572,mixed,mem,9
MSC03,0.48000000000000004,mixed,mem,9
MSC04,0.5028571428571429,mixed,mem,9
MSC05,0.5128571428571429,mixed,mem,9
MSC06,0.5085714285714286,mixed,mem,9
MSC07,0.5064285714285715,mixed,mem,9
MSC10,0.5,mixed,mem,9
MSC01,0.47285714285714286,mixed,motor,9
MSC02,0.5085714285714286,mixed,motor,9
MSC03,0.515,mixed,motor,9
MSC04,0.5121428571428572,mixed,motor,9
MSC05,0.5257142857142858,mixed,motor,9
MSC06,0.48714285714285716,mixed,motor,9
MSC07,0.4914285714285715,mixed,motor,9
MSC10,0.5028571428571429,mixed,motor,9
MSC01,0.4935714285714286,mem,mixed,9
MSC02,0.505,mem,mixed,9
MSC03,0.4821428571428572,mem,mixed,9
MSC04,0.5171428571428571,mem,mixed,9
MSC05,0.4771428571428572,mem,mixed,9
MSC06,0.5035714285714286,mem,mixed,9
MSC07,0.48928571428571427,mem,mixed,9
MSC10,0.4935714285714285,mem,mixed,9
MSC01,0.5128571428571428,mem,motor,9
MSC02,0.5021428571428571,mem,motor,9
MSC03,0.5092857142857143,mem,motor,9
MSC04,0.4914285714285714,mem,motor,9
MSC05,0.4921428571428571,mem,motor,9
MSC06,0.5042857142857143,mem,motor,9
MSC07,0.4978571428571429,mem,motor,9
MSC10,0.5307142857142857,mem,motor,9
MSC01,0.5121428571428571,motor,mixed,9
