train,acc,network
MSC01,0.0,23
MSC02,0.0,23
MSC03,0.0,23
MSC04,0.0,23
MSC05,0.0,23
MSC06,0.0,23
MSC07,0.0,23
MSC10,0.0,23
MSC01,0.0,23
MSC02,0.0,23
MSC03,0.0,23
MSC04,0.0,23
MSC05,0.0,23
MSC06,0.0,23
MSC07,0.0,23
MSC10,0.0,23
MSC01,0.0,24
MSC02,0.0,24
MSC03,0.0,24
MSC04,0.0,24
MSC05,0.0,24
MSC06,0.0,24
MSC07,0.0,24
MSC10,0.0,24
MSC01,0.0,24
MSC02,0.0,24
MSC03,0.0,24
MSC04,0.0,24
MSC05,0.0,24
MSC06,0.0,24
MSC07,0.0,24
MSC10,0.0,24
MSC01,0.0,24
MSC02,0.0,24
MSC03,0.0,24
MSC04,0.0,24
MSC05,0.0,24
MSC06,0.0,24
MSC07,0.0,24
MSC10,0.0,24
MSC01,0.0,24
MSC02,0.0,24
MSC03,0.0,24
MSC04,0.0,24
MSC05,0.0,24
MSC06,0.0,24
MSC07,0.0,24
MSC10,0.0,24
MSC01,0.0,24
MSC02,0.0,24
MSC03,0.0,24
MSC04,0.0,24
MSC05,0.0,24
MSC06,0.0,24
MSC07,0.0,24
MSC10,0.0,24
MSC01,0.0,24
MSC02,0.0,24
MSC03,0.0,24
MSC04,0.0,24
MSC05,0.0,24
MSC06,0.0,24
MSC07,0.0,24
MSC10,0.0,24
MSC01,0.0,25
MSC02,0.0,25
MSC03,0.0,25
MSC04,0.0,25
MSC05,0.0,25
MSC06,0.0,25
MSC07,0.0,25
MSC10,0.0,25
MSC01,0.0,25
MSC02,0.0,25
MSC03,0.0,25
MSC04,0.0,25
MSC05,0.0,25
MSC06,0.0,25
MSC07,0.0,25
MSC10,0.0,25
MSC01,0.0,25
MSC02,0.0,25
MSC03,0.0,25
MSC04,0.0,25
MSC05,0.0,25
MSC06,0.0,25
MSC07,0.0,25
MSC10,0.0,25
MSC01,0.0,25
MSC02,0.0,25
MSC03,0.0,25
MSC04,0.0,25
MSC05,0.0,25
MSC06,0.0,25
MSC07,0.0,25
MSC10,0.0,25
MSC01,0.0,25
MSC02,0.0,25
MSC03,0.0,25
MSC04,0.0,25
MSC05,0.0,25
MSC06,0.0,25
MSC07,0.0,25
MSC10,0.0,25
MSC01,0.0,26
MSC02,0.0,26
MSC03,0.0,26
MSC04,0.0,26
MSC05,0.0,26
MSC06,0.0,26
MSC07,0.0,26
MSC10,0.0,26
MSC01,0.0,26
MSC02,0.0,26
MSC03,0.0,26
MSC04,0.0,26
MSC05,0.0,26
MSC06,0.0,26
MSC07,0.0,26
MSC10,0.0,26
MSC01,0.0,26
MSC02,0.0,26
MSC03,0.0,26
MSC04,0.0,26
MSC05,0.0,26
MSC06,0.0,26
MSC07,0.0,26
MSC10,0.0,26
MSC01,0.0,26
MSC02,0.0,26
MSC03,0.0,26
MSC04,0.0,26
MSC05,0.0,26
MSC06,0.0,26
MSC07,0.0,26
MSC10,0.0,26
MSC01,0.0,26
MSC02,0.0,26
MSC03,0.0,26
MSC04,0.0,26
MSC05,0.0,26
MSC06,0.0,26
MSC07,0.0,26
MSC10,0.0,26
MSC01,0.0,27
MSC02,0.0,27
MSC03,0.0,27
MSC04,0.0,27
MSC05,0.0,27
MSC06,0.0,27
MSC07,0.0,27
MSC10,0.0,27
MSC01,0.0,27
MSC02,0.0,27
MSC03,0.0,27
MSC04,0.0,27
MSC05,0.0,27
MSC06,0.0,27
MSC07,0.0,27
MSC10,0.0,27
MSC01,0.0,27
MSC02,0.0,27
MSC03,0.0,27
MSC04,0.0,27
MSC05,0.0,27
MSC06,0.0,27
MSC07,0.0,27
MSC10,0.0,27
MSC01,0.0,27
MSC02,0.0,27
MSC03,0.0,27
MSC04,0.0,27
MSC05,0.0,27
MSC06,0.0,27
MSC07,0.0,27
MSC10,0.0,27
MSC01,0.0,27
MSC02,0.0,27
MSC03,0.0,27
MSC04,0.0,27
MSC05,0.0,27
MSC06,0.0,27
MSC07,0.0,27
MSC10,0.0,27
MSC01,0.0,28
MSC02,0.0,28
MSC03,0.0,28
MSC04,0.0,28
MSC05,0.0,28
MSC06,0.0,28
MSC07,0.0,28
MSC10,0.0,28
MSC01,0.0,28
MSC02,0.0,28
MSC03,0.0,28
MSC04,0.0,28
MSC05,0.0,28
MSC06,0.0,28
MSC07,0.0,28
MSC10,0.0,28
MSC01,0.0,28
MSC02,0.0,28
MSC03,0.0,28
MSC04,0.0,28
MSC05,0.0,28
MSC06,0.0,28
MSC07,0.0,28
MSC10,0.0,28
MSC01,0.0,28
MSC02,0.0,28
MSC03,0.0,28
MSC04,0.0,28
MSC05,0.0,28
MSC06,0.0,28
MSC07,0.0,28
MSC10,0.0,28
MSC01,0.0,28
MSC02,0.0,28
MSC03,0.0,28
MSC04,0.0,28
MSC05,0.0,28
MSC06,0.0,28
MSC07,0.0,28
MSC10,0.0,28
MSC01,0.0,29
MSC02,0.0,29
MSC03,0.0,29
MSC04,0.0,29
MSC05,0.0,29
MSC06,0.0,29
MSC07,0.0,29
MSC10,0.0,29
MSC01,0.0,29
MSC02,0.0,29
MSC03,0.0,29
MSC04,0.0,29
MSC05,0.0,29
MSC06,0.0,29
MSC07,0.0,29
MSC10,0.0,29
MSC01,0.0,29
MSC02,0.0,29
MSC03,0.0,29
MSC04,0.0,29
MSC05,0.0,29
MSC06,0.0,29
MSC07,0.0,29
MSC10,0.0,29
MSC01,0.0,29
MSC02,0.0,29
MSC03,0.0,29
MSC04,0.0,29
MSC05,0.0,29
MSC06,0.0,29
MSC07,0.0,29
MSC10,0.0,29
MSC01,0.0,30
MSC02,0.0,30
MSC03,0.0,30
MSC04,0.0,30
MSC05,0.0,30
MSC06,0.0,30
MSC07,0.0,30
MSC10,0.0,30
MSC01,0.0,30
MSC02,0.0,30
MSC03,0.0,30
MSC04,0.0,30
MSC05,0.0,30
MSC06,0.0,30
MSC07,0.0,30
MSC10,0.0,30
MSC01,0.0,30
MSC02,0.0,30
MSC03,0.0,30
MSC04,0.0,30
MSC05,0.0,30
MSC06,0.0,30
MSC07,0.0,30
MSC10,0.0,30
MSC01,0.0,30
MSC02,0.0,30
MSC03,0.0,30
MSC04,0.0,30
MSC05,0.0,30
MSC06,0.0,30
MSC07,0.0,30
MSC10,0.0,30
MSC01,0.0,30
MSC02,0.0,30
MSC03,0.0,30
MSC04,0.0,30
MSC05,0.0,30
MSC06,0.0,30
MSC07,0.0,30
MSC10,0.0,30
MSC01,0.0,31
