acc,train,test,frames
0.91,MSC01,MSC07,70
0.95,MSC01,MSC10,70
0.5599999999999999,MSC02,MSC01,70
0.7999999999999998,MSC02,MSC03,70
0.7799999999999999,MSC02,MSC04,70
0.82,MSC02,MSC05,70
0.7999999999999999,MSC02,MSC06,70
0.75,MSC02,MSC07,70
0.7050000000000001,MSC02,MSC10,70
0.8375,MSC03,MSC01,70
0.9,MSC03,MSC02,70
0.79375,MSC03,MSC04,70
0.90625,MSC03,MSC05,70
0.6875000000000001,MSC03,MSC06,70
0.5812499999999999,MSC03,MSC07,70
0.69375,MSC03,MSC10,70
0.95,MSC04,MSC01,70
0.95,MSC04,MSC02,70
0.865,MSC04,MSC03,70
0.94,MSC04,MSC05,70
0.995,MSC04,MSC06,70
0.885,MSC04,MSC07,70
0.9250000000000002,MSC04,MSC10,70
0.7099999999999999,MSC05,MSC01,70
0.53,MSC05,MSC02,70
0.825,MSC05,MSC03,70
0.9150000000000004,MSC05,MSC04,70
0.89,MSC05,MSC06,70
0.6950000000000001,MSC05,MSC07,70
0.7000000000000001,MSC05,MSC10,70
0.97,MSC06,MSC01,70
0.9200000000000002,MSC06,MSC02,70
0.8649999999999999,MSC06,MSC03,70
0.955,MSC06,MSC04,70
0.985,MSC06,MSC05,70
0.82,MSC06,MSC07,70
0.8800000000000001,MSC06,MSC10,70
0.8,MSC07,MSC01,70
0.6799999999999999,MSC07,MSC02,70
0.655,MSC07,MSC03,70
0.765,MSC07,MSC04,70
0.885,MSC07,MSC05,70
0.9399999999999998,MSC07,MSC06,70
0.86,MSC07,MSC10,70
0.93,MSC10,MSC01,70
0.95,MSC10,MSC02,70
0.96,MSC10,MSC03,70
0.97,MSC10,MSC04,70
0.8949999999999999,MSC10,MSC05,70
0.7000000000000001,MSC10,MSC06,70
0.6249999999999999,MSC10,MSC07,70
0.915,MSC01,MSC02,80
0.7500000000000001,MSC01,MSC03,80
0.89,MSC01,MSC04,80
0.97,MSC01,MSC05,80
0.97,MSC01,MSC06,80
0.7,MSC01,MSC07,80
0.94,MSC01,MSC10,80
0.99,MSC02,MSC01,80
0.945,MSC02,MSC03,80
0.99,MSC02,MSC04,80
1.0,MSC02,MSC05,80
0.975,MSC02,MSC06,80
0.9350000000000002,MSC02,MSC07,80
0.925,MSC02,MSC10,80
0.68125,MSC03,MSC01,80
0.90625,MSC03,MSC02,80
0.9125,MSC03,MSC04,80
0.9125,MSC03,MSC05,80
0.75,MSC03,MSC06,80
