,train_task,test_task,sub,acc,Features
37,mixed,mem,MSC07,0.9000000000000001,70
38,motor,mixed,MSC07,0.53,70
39,motor,mem,MSC07,0.6,70
40,mem,mixed,MSC07,0.935,70
41,mem,motor,MSC07,0.925,70
42,mixed,motor,MSC10,0.825,70
43,mixed,mem,MSC10,0.76,70
44,motor,mixed,MSC10,0.5499999999999999,70
45,motor,mem,MSC10,0.75,70
46,mem,mixed,MSC10,0.7100000000000001,70
47,mem,motor,MSC10,0.755,70
0,mixed,motor,MSC01,0.8699999999999999,80
1,mixed,mem,MSC01,0.8950000000000001,80
2,motor,mixed,MSC01,0.9149999999999998,80
3,motor,mem,MSC01,0.835,80
4,mem,mixed,MSC01,1.0,80
5,mem,motor,MSC01,0.95,80
6,mixed,motor,MSC02,0.5799999999999998,80
7,mixed,mem,MSC02,0.7849999999999999,80
8,motor,mixed,MSC02,0.5199999999999999,80
9,motor,mem,MSC02,0.5149999999999999,80
10,mem,mixed,MSC02,0.7849999999999999,80
11,mem,motor,MSC02,0.5499999999999999,80
12,mixed,motor,MSC03,0.8200000000000001,80
13,mixed,mem,MSC03,0.7899999999999999,80
14,motor,mixed,MSC03,0.5499999999999999,80
15,motor,mem,MSC03,0.77,80
16,mem,mixed,MSC03,0.66,80
17,mem,motor,MSC03,0.925,80
18,mixed,motor,MSC04,0.8150000000000001,80
19,mixed,mem,MSC04,0.9350000000000002,80
20,motor,mixed,MSC04,0.865,80
21,motor,mem,MSC04,0.9149999999999998,80
22,mem,mixed,MSC04,0.91,80
23,mem,motor,MSC04,0.945,80
24,mixed,motor,MSC05,0.96,80
25,mixed,mem,MSC05,1.0,80
26,motor,mixed,MSC05,0.675,80
27,motor,mem,MSC05,0.7949999999999999,80
28,mem,mixed,MSC05,0.89,80
29,mem,motor,MSC05,0.905,80
30,mixed,motor,MSC06,0.865,80
31,mixed,mem,MSC06,0.9000000000000001,80
32,motor,mixed,MSC06,0.67,80
33,motor,mem,MSC06,0.7300000000000001,80
34,mem,mixed,MSC06,0.9200000000000002,80
35,mem,motor,MSC06,0.8549999999999999,80
36,mixed,motor,MSC07,0.6950000000000001,80
37,mixed,mem,MSC07,0.955,80
38,motor,mixed,MSC07,0.5899999999999999,80
39,motor,mem,MSC07,0.655,80
40,mem,mixed,MSC07,0.805,80
41,mem,motor,MSC07,0.7399999999999999,80
42,mixed,motor,MSC10,0.7849999999999999,80
43,mixed,mem,MSC10,0.8550000000000001,80
44,motor,mixed,MSC10,0.675,80
45,motor,mem,MSC10,0.7699999999999999,80
46,mem,mixed,MSC10,0.8049999999999999,80
47,mem,motor,MSC10,0.875,80
0,mixed,motor,MSC01,0.9549999999999998,90
1,mixed,mem,MSC01,0.915,90
2,motor,mixed,MSC01,0.6700000000000002,90
3,motor,mem,MSC01,0.7050000000000001,90
4,mem,mixed,MSC01,0.925,90
5,mem,motor,MSC01,0.915,90
6,mixed,motor,MSC02,0.6900000000000001,90
7,mixed,mem,MSC02,0.7949999999999999,90
8,motor,mixed,MSC02,0.565,90
9,motor,mem,MSC02,0.5399999999999999,90
10,mem,mixed,MSC02,0.7200000000000001,90
11,mem,motor,MSC02,0.6500000000000001,90
12,mixed,motor,MSC03,0.99,90
13,mixed,mem,MSC03,0.8950000000000001,90
14,motor,mixed,MSC03,0.65,90
15,motor,mem,MSC03,0.8049999999999999,90
16,mem,mixed,MSC03,0.8149999999999998,90
17,mem,motor,MSC03,0.915,90
18,mixed,motor,MSC04,0.925,90
19,mixed,mem,MSC04,1.0,90
20,motor,mixed,MSC04,0.7000000000000002,90
21,motor,mem,MSC04,0.8549999999999999,90
22,mem,mixed,MSC04,0.93,90
23,mem,motor,MSC04,0.965,90
24,mixed,motor,MSC05,0.7949999999999999,90
25,mixed,mem,MSC05,1.0,90
26,motor,mixed,MSC05,0.5999999999999999,90
27,motor,mem,MSC05,0.79,90
28,mem,mixed,MSC05,0.7849999999999999,90
29,mem,motor,MSC05,0.8699999999999999,90
30,mixed,motor,MSC06,0.92,90
31,mixed,mem,MSC06,0.7899999999999999,90
32,motor,mixed,MSC06,0.615,90
33,motor,mem,MSC06,0.75,90
34,mem,mixed,MSC06,0.74,90
35,mem,motor,MSC06,0.8149999999999998,90
36,mixed,motor,MSC07,0.82,90
37,mixed,mem,MSC07,0.885,90
38,motor,mixed,MSC07,0.575,90
39,motor,mem,MSC07,0.5799999999999998,90
40,mem,mixed,MSC07,0.7949999999999999,90
41,mem,motor,MSC07,0.71,90
42,mixed,motor,MSC10,0.6900000000000001,90
43,mixed,mem,MSC10,0.6900000000000001,90
44,motor,mixed,MSC10,0.51,90
45,motor,mem,MSC10,0.5499999999999999,90
46,mem,mixed,MSC10,0.7849999999999999,90
47,mem,motor,MSC10,0.7,90
0,mixed,motor,MSC01,0.7949999999999999,100
