train_task,test_task,train_sub,test_sub,acc,spec,sen
glass,mem,MSC04,MSC05,0.665,1.0,0.32999999999999996
semantic,glass,MSC04,MSC05,0.5,1.0,0.0
semantic,motor,MSC04,MSC05,0.5,1.0,0.0
semantic,mem,MSC04,MSC05,0.5,1.0,0.0
motor,glass,MSC04,MSC05,0.5900000000000001,1.0,0.18
motor,semantic,MSC04,MSC05,0.655,1.0,0.31
motor,mem,MSC04,MSC05,0.72,1.0,0.43999999999999995
mem,glass,MSC04,MSC05,0.55,1.0,0.1
mem,semantic,MSC04,MSC05,0.795,1.0,0.5900000000000001
mem,motor,MSC04,MSC05,0.7350000000000001,1.0,0.47000000000000003
glass,semantic,MSC04,MSC06,0.795,1.0,0.59
glass,motor,MSC04,MSC06,0.71,1.0,0.41999999999999993
glass,mem,MSC04,MSC06,0.8300000000000001,1.0,0.6599999999999999
semantic,glass,MSC04,MSC06,0.5,1.0,0.0
semantic,motor,MSC04,MSC06,0.505,1.0,0.01
semantic,mem,MSC04,MSC06,0.575,1.0,0.15000000000000002
motor,glass,MSC04,MSC06,0.5333333333333334,1.0,0.06666666666666667
motor,semantic,MSC04,MSC06,0.64,1.0,0.27999999999999997
motor,mem,MSC04,MSC06,0.5900000000000001,1.0,0.18
mem,glass,MSC04,MSC06,0.861111111111111,1.0,0.7222222222222222
mem,semantic,MSC04,MSC06,0.875,1.0,0.7500000000000001
mem,motor,MSC04,MSC06,0.925,1.0,0.85
glass,semantic,MSC04,MSC07,0.5599999999999999,0.9100000000000001,0.21000000000000002
glass,motor,MSC04,MSC07,0.7799999999999999,0.9100000000000001,0.65
glass,mem,MSC04,MSC07,0.6,0.9100000000000001,0.2899999999999999
semantic,glass,MSC04,MSC07,0.7499999999999999,1.0,0.5
semantic,motor,MSC04,MSC07,0.505,1.0,0.01
semantic,mem,MSC04,MSC07,0.565,1.0,0.13000000000000003
motor,glass,MSC04,MSC07,0.725,0.99,0.45999999999999996
motor,semantic,MSC04,MSC07,0.665,0.99,0.33999999999999997
motor,mem,MSC04,MSC07,0.6500000000000001,0.99,0.30999999999999994
mem,glass,MSC04,MSC07,0.8049999999999999,0.76,0.85
mem,semantic,MSC04,MSC07,0.7050000000000001,0.76,0.65
