,train_sub,test_sub,task,acc,Features
13,MSC01,MSC06,motor,0.62,40
14,MSC01,MSC06,mem,0.54,40
15,MSC01,MSC07,mixed,0.725,40
16,MSC01,MSC07,motor,0.58,40
17,MSC01,MSC07,mem,0.635,40
18,MSC01,MSC10,mixed,0.68,40
19,MSC01,MSC10,motor,0.575,40
20,MSC01,MSC10,mem,0.655,40
21,MSC02,MSC01,mixed,0.62,40
22,MSC02,MSC01,motor,0.61,40
23,MSC02,MSC01,mem,0.725,40
24,MSC02,MSC03,mixed,0.6599999999999999,40
25,MSC02,MSC03,motor,0.61,40
26,MSC02,MSC03,mem,0.51,40
27,MSC02,MSC04,mixed,0.515,40
28,MSC02,MSC04,motor,0.7300000000000001,40
29,MSC02,MSC04,mem,0.565,40
30,MSC02,MSC05,mixed,0.495,40
31,MSC02,MSC05,motor,0.835,40
32,MSC02,MSC05,mem,0.48,40
33,MSC02,MSC06,mixed,0.5,40
34,MSC02,MSC06,motor,0.54,40
35,MSC02,MSC06,mem,0.5449999999999999,40
36,MSC02,MSC07,mixed,0.76,40
37,MSC02,MSC07,motor,0.505,40
38,MSC02,MSC07,mem,0.64,40
39,MSC02,MSC10,mixed,0.4800000000000001,40
40,MSC02,MSC10,motor,0.585,40
41,MSC02,MSC10,mem,0.7150000000000001,40
42,MSC03,MSC01,mixed,0.51,40
43,MSC03,MSC01,motor,0.7749999999999999,40
44,MSC03,MSC01,mem,0.7000000000000001,40
45,MSC03,MSC02,mixed,0.6200000000000001,40
46,MSC03,MSC02,motor,0.68,40
47,MSC03,MSC02,mem,0.5700000000000001,40
48,MSC03,MSC04,mixed,0.5,40
49,MSC03,MSC04,motor,0.575,40
50,MSC03,MSC04,mem,0.595,40
51,MSC03,MSC05,mixed,0.5850000000000001,40
52,MSC03,MSC05,motor,0.725,40
53,MSC03,MSC05,mem,0.405,40
54,MSC03,MSC06,mixed,0.5,40
55,MSC03,MSC06,motor,0.6900000000000002,40
56,MSC03,MSC06,mem,0.5,40
57,MSC03,MSC07,mixed,0.5,40
58,MSC03,MSC07,motor,0.39,40
59,MSC03,MSC07,mem,0.5549999999999999,40
60,MSC03,MSC10,mixed,0.47,40
61,MSC03,MSC10,motor,0.6300000000000001,40
62,MSC03,MSC10,mem,0.705,40
63,MSC04,MSC01,mixed,0.635,40
64,MSC04,MSC01,motor,0.585,40
65,MSC04,MSC01,mem,0.5549999999999999,40
66,MSC04,MSC02,mixed,0.6749999999999999,40
67,MSC04,MSC02,motor,0.6299999999999999,40
68,MSC04,MSC02,mem,0.5549999999999999,40
69,MSC04,MSC03,mixed,0.4600000000000001,40
70,MSC04,MSC03,motor,0.6050000000000001,40
71,MSC04,MSC03,mem,0.6599999999999999,40
72,MSC04,MSC05,mixed,0.4900000000000001,40
73,MSC04,MSC05,motor,0.615,40
74,MSC04,MSC05,mem,0.4600000000000001,40
75,MSC04,MSC06,mixed,0.5899999999999999,40
76,MSC04,MSC06,motor,0.595,40
77,MSC04,MSC06,mem,0.6950000000000001,40
78,MSC04,MSC07,mixed,0.565,40
79,MSC04,MSC07,motor,0.4550000000000001,40
80,MSC04,MSC07,mem,0.3850000000000001,40
81,MSC04,MSC10,mixed,0.555,40
82,MSC04,MSC10,motor,0.6300000000000001,40
83,MSC04,MSC10,mem,0.6450000000000001,40
84,MSC05,MSC01,mixed,0.4800000000000001,40
85,MSC05,MSC01,motor,0.4,40
86,MSC05,MSC01,mem,0.4350000000000001,40
87,MSC05,MSC02,mixed,0.415,40
88,MSC05,MSC02,motor,0.43,40
