train_task,test_task,sub,acc,features,Null_Network
motor,mem,MSC04,0.8700000000000001,14808,unassign
mem,semantic,MSC04,0.915,14808,unassign
mem,glass,MSC04,0.95,14808,unassign
mem,motor,MSC04,0.9649999999999999,14808,unassign
semantic,glass,MSC05,0.8800000000000001,14808,unassign
semantic,motor,MSC05,0.77,14808,unassign
semantic,mem,MSC05,1.0,14808,unassign
glass,semantic,MSC05,1.0,14808,unassign
glass,motor,MSC05,0.9000000000000001,14808,unassign
glass,mem,MSC05,0.96,14808,unassign
motor,semantic,MSC05,0.5599999999999999,14808,unassign
motor,glass,MSC05,0.76,14808,unassign
motor,mem,MSC05,0.7949999999999999,14808,unassign
mem,semantic,MSC05,0.9099999999999999,14808,unassign
mem,glass,MSC05,0.9,14808,unassign
mem,motor,MSC05,0.9949999999999999,14808,unassign
semantic,glass,MSC06,0.7722222222222221,14808,unassign
semantic,motor,MSC06,0.835,14808,unassign
semantic,mem,MSC06,0.9450000000000001,14808,unassign
glass,semantic,MSC06,0.9222222222222223,14808,unassign
glass,motor,MSC06,0.7833333333333333,14808,unassign
glass,mem,MSC06,0.9111111111111112,14808,unassign
motor,semantic,MSC06,0.6950000000000001,14808,unassign
motor,glass,MSC06,0.6222222222222223,14808,unassign
motor,mem,MSC06,0.8549999999999999,14808,unassign
mem,semantic,MSC06,0.9349999999999999,14808,unassign
mem,glass,MSC06,0.877777777777778,14808,unassign
mem,motor,MSC06,0.96,14808,unassign
semantic,glass,MSC07,0.95,14808,unassign
semantic,motor,MSC07,0.5499999999999999,14808,unassign
semantic,mem,MSC07,0.685,14808,unassign
glass,semantic,MSC07,0.9949999999999999,14808,unassign
glass,motor,MSC07,0.6,14808,unassign
glass,mem,MSC07,0.7999999999999999,14808,unassign
motor,semantic,MSC07,0.5499999999999999,14808,unassign
motor,glass,MSC07,0.5549999999999999,14808,unassign
motor,mem,MSC07,0.525,14808,unassign
mem,semantic,MSC07,0.9799999999999999,14808,unassign
mem,glass,MSC07,0.9200000000000002,14808,unassign
mem,motor,MSC07,0.82,14808,unassign
semantic,glass,MSC10,0.9450000000000001,14808,unassign
semantic,motor,MSC10,0.7100000000000001,14808,unassign
semantic,mem,MSC10,0.8950000000000001,14808,unassign
glass,semantic,MSC10,0.9400000000000001,14808,unassign
glass,motor,MSC10,0.93,14808,unassign
glass,mem,MSC10,0.93,14808,unassign
motor,semantic,MSC10,0.6550000000000001,14808,unassign
motor,glass,MSC10,0.6199999999999999,14808,unassign
motor,mem,MSC10,0.825,14808,unassign
mem,semantic,MSC10,0.89,14808,unassign
mem,glass,MSC10,0.9000000000000001,14808,unassign
mem,motor,MSC10,0.93,14808,unassign
semantic,glass,MSC01,0.9000000000000001,14808,unassign
semantic,motor,MSC01,0.82,14808,unassign
semantic,mem,MSC01,0.665,14808,unassign
glass,semantic,MSC01,0.95,14808,unassign
glass,motor,MSC01,0.96,14808,unassign
glass,mem,MSC01,0.7899999999999998,14808,unassign
motor,semantic,MSC01,0.9399999999999998,14808,unassign
motor,glass,MSC01,0.8400000000000001,14808,unassign
motor,mem,MSC01,0.7000000000000001,14808,unassign
mem,semantic,MSC01,1.0,14808,unassign
mem,glass,MSC01,0.97,14808,unassign
mem,motor,MSC01,1.0,14808,unassign
semantic,glass,MSC02,0.6950000000000001,14808,unassign
semantic,motor,MSC02,0.495,14808,unassign
semantic,mem,MSC02,0.5,14808,unassign
glass,semantic,MSC02,0.9,14808,unassign
glass,motor,MSC02,0.6300000000000001,14808,unassign
glass,mem,MSC02,0.665,14808,unassign
motor,semantic,MSC02,0.5449999999999999,14808,unassign
motor,glass,MSC02,0.51,14808,unassign
motor,mem,MSC02,0.5,14808,unassign
mem,semantic,MSC02,0.865,14808,unassign
mem,glass,MSC02,0.7849999999999999,14808,unassign
mem,motor,MSC02,0.7749999999999999,14808,unassign
semantic,glass,MSC03,0.655,14808,unassign
semantic,motor,MSC03,0.7649999999999999,14808,unassign
semantic,mem,MSC03,0.8400000000000001,14808,unassign
glass,semantic,MSC03,0.7350000000000001,14808,unassign
glass,motor,MSC03,0.9799999999999999,14808,unassign
glass,mem,MSC03,0.6400000000000001,14808,unassign
motor,semantic,MSC03,0.5599999999999999,14808,unassign
motor,glass,MSC03,0.7350000000000001,14808,unassign
motor,mem,MSC03,0.5999999999999999,14808,unassign
mem,semantic,MSC03,0.7949999999999999,14808,unassign
mem,glass,MSC03,0.61,14808,unassign
mem,motor,MSC03,0.9549999999999998,14808,unassign
semantic,glass,MSC04,0.865,14808,unassign
semantic,motor,MSC04,0.6900000000000001,14808,unassign
semantic,mem,MSC04,0.8099999999999999,14808,unassign
glass,semantic,MSC04,0.99,14808,unassign
glass,motor,MSC04,0.9099999999999999,14808,unassign
glass,mem,MSC04,0.885,14808,unassign
motor,semantic,MSC04,0.885,14808,unassign
motor,glass,MSC04,0.945,14808,unassign
motor,mem,MSC04,0.7150000000000001,14808,unassign
mem,semantic,MSC04,0.9299999999999999,14808,unassign
mem,glass,MSC04,0.9850000000000001,14808,unassign
mem,motor,MSC04,0.8499999999999999,14808,unassign
semantic,glass,MSC05,0.89,14808,unassign
semantic,motor,MSC05,0.7150000000000001,14808,unassign
semantic,mem,MSC05,0.9099999999999999,14808,unassign
glass,semantic,MSC05,0.97,14808,unassign
glass,motor,MSC05,0.8499999999999999,14808,unassign
glass,mem,MSC05,0.9949999999999999,14808,unassign
motor,semantic,MSC05,0.6950000000000001,14808,unassign
motor,glass,MSC05,0.75,14808,unassign
motor,mem,MSC05,0.975,14808,unassign
mem,semantic,MSC05,0.975,14808,unassign
mem,glass,MSC05,1.0,14808,unassign
mem,motor,MSC05,1.0,14808,unassign
semantic,glass,MSC06,0.7388888888888889,14808,unassign
semantic,motor,MSC06,0.8800000000000001,14808,unassign
semantic,mem,MSC06,0.93,14808,unassign
glass,semantic,MSC06,0.9500000000000001,14808,unassign
glass,motor,MSC06,0.8166666666666667,14808,unassign
glass,mem,MSC06,0.9000000000000001,14808,unassign
motor,semantic,MSC06,0.8299999999999998,14808,unassign
motor,glass,MSC06,0.5666666666666667,14808,unassign
motor,mem,MSC06,0.865,14808,unassign
