train_task,test_task,sub,acc,features
motor,glass,MSC07,0.575,33245
motor,mem,MSC07,0.5349999999999999,33245
mem,semantic,MSC07,0.97,33245
mem,glass,MSC07,1.0,33245
mem,motor,MSC07,0.8949999999999999,33245
semantic,glass,MSC10,0.9550000000000001,33245
semantic,motor,MSC10,0.7050000000000001,33245
semantic,mem,MSC10,0.8950000000000001,33245
glass,semantic,MSC10,0.8850000000000001,33245
glass,motor,MSC10,0.8949999999999999,33245
glass,mem,MSC10,0.8850000000000001,33245
motor,semantic,MSC10,0.6300000000000001,33245
motor,glass,MSC10,0.8049999999999999,33245
motor,mem,MSC10,0.655,33245
mem,semantic,MSC10,0.8649999999999999,33245
mem,glass,MSC10,0.925,33245
mem,motor,MSC10,0.9400000000000001,33245
semantic,glass,MSC01,0.8499999999999999,40341
semantic,motor,MSC01,0.76,40341
semantic,mem,MSC01,0.74,40341
glass,semantic,MSC01,0.95,40341
glass,motor,MSC01,0.95,40341
glass,mem,MSC01,0.7999999999999999,40341
motor,semantic,MSC01,0.9000000000000001,40341
motor,glass,MSC01,0.9250000000000002,40341
motor,mem,MSC01,0.6500000000000001,40341
mem,semantic,MSC01,0.925,40341
mem,glass,MSC01,0.9550000000000001,40341
mem,motor,MSC01,1.0,40341
semantic,glass,MSC02,0.6900000000000001,40341
semantic,motor,MSC02,0.505,40341
semantic,mem,MSC02,0.5,40341
glass,semantic,MSC02,0.905,40341
glass,motor,MSC02,0.595,40341
glass,mem,MSC02,0.635,40341
motor,semantic,MSC02,0.5199999999999999,40341
motor,glass,MSC02,0.515,40341
motor,mem,MSC02,0.5,40341
mem,semantic,MSC02,0.8549999999999999,40341
mem,glass,MSC02,0.8099999999999999,40341
mem,motor,MSC02,0.74,40341
semantic,glass,MSC03,0.755,40341
semantic,motor,MSC03,0.7949999999999999,40341
semantic,mem,MSC03,0.745,40341
glass,semantic,MSC03,0.7849999999999999,40341
glass,motor,MSC03,0.9450000000000001,40341
glass,mem,MSC03,0.68,40341
motor,semantic,MSC03,0.5399999999999999,40341
motor,glass,MSC03,0.8549999999999999,40341
motor,mem,MSC03,0.6099999999999999,40341
mem,semantic,MSC03,0.7849999999999999,40341
mem,glass,MSC03,0.7300000000000001,40341
mem,motor,MSC03,0.9199999999999999,40341
semantic,glass,MSC04,0.7899999999999999,40341
semantic,motor,MSC04,0.5899999999999999,40341
semantic,mem,MSC04,0.7849999999999999,40341
glass,semantic,MSC04,0.95,40341
glass,motor,MSC04,0.9400000000000001,40341
glass,mem,MSC04,0.905,40341
motor,semantic,MSC04,0.8249999999999998,40341
motor,glass,MSC04,0.8949999999999999,40341
motor,mem,MSC04,0.8150000000000001,40341
mem,semantic,MSC04,0.95,40341
mem,glass,MSC04,0.8850000000000001,40341
mem,motor,MSC04,0.9850000000000001,40341
semantic,glass,MSC05,0.9000000000000001,40341
semantic,motor,MSC05,0.7899999999999999,40341
semantic,mem,MSC05,0.9550000000000001,40341
glass,semantic,MSC05,0.9649999999999999,40341
glass,motor,MSC05,0.8950000000000001,40341
glass,mem,MSC05,0.99,40341
motor,semantic,MSC05,0.7050000000000001,40341
motor,glass,MSC05,0.7699999999999999,40341
motor,mem,MSC05,0.97,40341
mem,semantic,MSC05,0.945,40341
mem,glass,MSC05,0.95,40341
mem,motor,MSC05,0.9650000000000001,40341
semantic,glass,MSC06,0.7722222222222221,40341
semantic,motor,MSC06,0.7849999999999999,40341
semantic,mem,MSC06,0.8800000000000001,40341
glass,semantic,MSC06,0.9444444444444446,40341
glass,motor,MSC06,0.8722222222222222,40341
glass,mem,MSC06,0.9111111111111112,40341
motor,semantic,MSC06,0.7849999999999999,40341
motor,glass,MSC06,0.5777777777777777,40341
motor,mem,MSC06,0.7899999999999998,40341
mem,semantic,MSC06,0.9000000000000001,40341
mem,glass,MSC06,0.8111111111111111,40341
mem,motor,MSC06,0.99,40341
semantic,glass,MSC07,0.945,40341
semantic,motor,MSC07,0.5499999999999999,40341
semantic,mem,MSC07,0.7350000000000001,40341
glass,semantic,MSC07,1.0,40341
glass,motor,MSC07,0.6100000000000001,40341
glass,mem,MSC07,0.7949999999999999,40341
motor,semantic,MSC07,0.5499999999999999,40341
motor,glass,MSC07,0.5499999999999999,40341
motor,mem,MSC07,0.505,40341
mem,semantic,MSC07,0.875,40341
mem,glass,MSC07,0.9850000000000001,40341
mem,motor,MSC07,0.775,40341
semantic,glass,MSC10,0.925,40341
semantic,motor,MSC10,0.7100000000000002,40341
semantic,mem,MSC10,0.9100000000000001,40341
glass,semantic,MSC10,0.8850000000000001,40341
glass,motor,MSC10,0.8249999999999998,40341
glass,mem,MSC10,0.9349999999999999,40341
motor,semantic,MSC10,0.59,40341
motor,glass,MSC10,0.6699999999999999,40341
motor,mem,MSC10,0.6950000000000001,40341
mem,semantic,MSC10,0.8649999999999999,40341
mem,glass,MSC10,0.8950000000000001,40341
mem,motor,MSC10,0.9550000000000001,40341
semantic,glass,MSC01,0.8800000000000001,32529
semantic,motor,MSC01,0.725,32529
semantic,mem,MSC01,0.6950000000000001,32529
glass,semantic,MSC01,0.95,32529
glass,motor,MSC01,0.9349999999999999,32529
glass,mem,MSC01,0.8099999999999999,32529
motor,semantic,MSC01,0.905,32529
motor,glass,MSC01,0.8800000000000001,32529
motor,mem,MSC01,0.675,32529
mem,semantic,MSC01,1.0,32529
mem,glass,MSC01,0.97,32529
mem,motor,MSC01,1.0,32529
semantic,glass,MSC02,0.685,32529
semantic,motor,MSC02,0.5,32529
semantic,mem,MSC02,0.5199999999999999,32529
glass,semantic,MSC02,0.905,32529
glass,motor,MSC02,0.615,32529
glass,mem,MSC02,0.6500000000000001,32529
motor,semantic,MSC02,0.5,32529
motor,glass,MSC02,0.5449999999999999,32529
motor,mem,MSC02,0.5,32529
mem,semantic,MSC02,0.86,32529
mem,glass,MSC02,0.8099999999999998,32529
mem,motor,MSC02,0.595,32529
semantic,glass,MSC03,0.7150000000000001,32529
semantic,motor,MSC03,0.7999999999999999,32529
semantic,mem,MSC03,0.725,32529
glass,semantic,MSC03,0.7749999999999999,32529
glass,motor,MSC03,0.9800000000000001,32529
glass,mem,MSC03,0.6400000000000001,32529
motor,semantic,MSC03,0.5999999999999999,32529
motor,glass,MSC03,0.7150000000000001,32529
motor,mem,MSC03,0.615,32529
mem,semantic,MSC03,0.75,32529
mem,glass,MSC03,0.675,32529
mem,motor,MSC03,0.9949999999999999,32529
