train_sub,test_sub,cv_acc,acc,numComponent
MSC05,MSC01,0.9875,0.6050000000000001,313
MSC05,MSC02,0.9875,0.5125,313
MSC05,MSC03,0.9875,0.6410714285714285,313
MSC05,MSC04,0.9875,0.7324999999999999,313
MSC05,MSC06,0.9875,0.6842857142857143,313
MSC05,MSC07,0.9875,0.6239285714285714,313
MSC05,MSC10,0.9875,0.61,313
MSC06,MSC01,0.975,0.8025,313
MSC06,MSC02,0.975,0.82,313
MSC06,MSC03,0.975,0.7125,313
MSC06,MSC04,0.975,0.8925000000000001,313
MSC06,MSC05,0.975,0.8925000000000001,313
MSC06,MSC07,0.95,0.589642857142857,313
MSC06,MSC10,0.9625,0.6224999999999999,313
MSC07,MSC01,0.975,0.765,313
MSC07,MSC02,0.975,0.675,313
MSC07,MSC03,0.95,0.6067857142857143,313
MSC07,MSC04,0.9375,0.76,313
MSC07,MSC05,0.9375,0.8074999999999999,313
MSC07,MSC06,0.9375,0.7542857142857142,313
MSC07,MSC10,0.9625,0.7,313
MSC10,MSC01,0.9,0.555,313
MSC10,MSC02,0.925,0.55,313
MSC10,MSC03,0.9,0.6196428571428572,313
MSC10,MSC04,0.9,0.72,313
MSC10,MSC05,0.9125,0.6825,313
MSC10,MSC06,0.9,0.7857142857142857,313
MSC10,MSC07,0.9,0.6503571428571429,313
MSC01,MSC02,0.975,0.5725,355
MSC01,MSC03,0.9625,0.6021428571428571,355
MSC01,MSC04,0.975,0.7250000000000001,355
MSC01,MSC05,0.9875,0.74,355
MSC01,MSC06,0.95,0.7978571428571428,355
MSC01,MSC07,0.95,0.5925,355
MSC01,MSC10,0.9625,0.585,355
MSC02,MSC01,0.975,0.8825,355
MSC02,MSC03,0.975,0.7285714285714286,355
MSC02,MSC04,0.9625,0.8775000000000001,355
MSC02,MSC05,0.975,0.8799999999999999,355
MSC02,MSC06,0.975,0.8607142857142855,355
MSC02,MSC07,0.975,0.6925,355
MSC02,MSC10,0.975,0.74,355
MSC03,MSC01,0.95,0.6825000000000001,355
MSC03,MSC02,0.95,0.7074999999999999,355
MSC03,MSC04,0.925,0.7449999999999999,355
MSC03,MSC05,0.9875,0.8625000000000002,355
MSC03,MSC06,0.95,0.6789285714285713,355
MSC03,MSC07,0.9375,0.7057142857142857,355
MSC03,MSC10,0.95,0.7975,355
MSC04,MSC01,0.975,0.5825000000000001,355
MSC04,MSC02,0.9875,0.5375,355
MSC04,MSC03,0.975,0.6003571428571428,355
MSC04,MSC05,0.975,0.8675,355
MSC04,MSC06,0.9625,0.7557142857142857,355
MSC04,MSC07,0.975,0.5875,355
MSC04,MSC10,0.975,0.6325,355
