,train_sub,Analysis,acc,Network_A,Network_B
12,MSC05,Different Subject,0.6226020408163266,default,salience
13,MSC06,Different Subject,0.7078061224489796,default,salience
14,MSC07,Different Subject,0.6736734693877552,default,salience
15,MSC10,Different Subject,0.6410204081632653,default,salience
0,MSC01,Same Subject,0.9660714285714287,default,co
1,MSC02,Same Subject,0.9446428571428572,default,co
2,MSC03,Same Subject,0.8946428571428572,default,co
3,MSC04,Same Subject,0.9017857142857143,default,co
4,MSC05,Same Subject,0.9696428571428571,default,co
5,MSC06,Same Subject,0.9035714285714285,default,co
6,MSC07,Same Subject,0.9410714285714284,default,co
7,MSC10,Same Subject,0.8732142857142858,default,co
8,MSC01,Different Subject,0.6693367346938776,default,co
9,MSC02,Different Subject,0.7245408163265308,default,co
10,MSC03,Different Subject,0.6050000000000001,default,co
11,MSC04,Different Subject,0.7287755102040816,default,co
12,MSC05,Different Subject,0.6767857142857142,default,co
13,MSC06,Different Subject,0.6696938775510205,default,co
14,MSC07,Different Subject,0.7005102040816326,default,co
15,MSC10,Different Subject,0.5971428571428571,default,co
0,MSC01,Same Subject,0.9196428571428571,default,sm
1,MSC02,Same Subject,0.8464285714285714,default,sm
2,MSC03,Same Subject,0.8357142857142856,default,sm
3,MSC04,Same Subject,0.8357142857142857,default,sm
4,MSC05,Same Subject,0.9803571428571428,default,sm
5,MSC06,Same Subject,0.8517857142857144,default,sm
6,MSC07,Same Subject,0.8625,default,sm
7,MSC10,Same Subject,0.8125,default,sm
8,MSC01,Different Subject,0.5441836734693878,default,sm
9,MSC02,Different Subject,0.5980612244897959,default,sm
10,MSC03,Different Subject,0.5655612244897958,default,sm
11,MSC04,Different Subject,0.5727040816326531,default,sm
12,MSC05,Different Subject,0.5726020408163265,default,sm
13,MSC06,Different Subject,0.6003571428571429,default,sm
14,MSC07,Different Subject,0.5975510204081632,default,sm
15,MSC10,Different Subject,0.5873469387755101,default,sm
0,MSC01,Same Subject,0.8964285714285714,default,sm-lat
1,MSC02,Same Subject,0.7928571428571429,default,sm-lat
2,MSC03,Same Subject,0.5321428571428571,default,sm-lat
3,MSC04,Same Subject,0.755357142857143,default,sm-lat
4,MSC05,Same Subject,0.8071428571428572,default,sm-lat
5,MSC06,Same Subject,0.6482142857142857,default,sm-lat
6,MSC07,Same Subject,0.7357142857142857,default,sm-lat
7,MSC10,Same Subject,0.8982142857142856,default,sm-lat
8,MSC01,Different Subject,0.5746938775510203,default,sm-lat
9,MSC02,Different Subject,0.5994387755102041,default,sm-lat
10,MSC03,Different Subject,0.5094897959183673,default,sm-lat
11,MSC04,Different Subject,0.5565816326530613,default,sm-lat
12,MSC05,Different Subject,0.5308673469387755,default,sm-lat
13,MSC06,Different Subject,0.5352551020408164,default,sm-lat
14,MSC07,Different Subject,0.5869387755102041,default,sm-lat
15,MSC10,Different Subject,0.5718877551020408,default,sm-lat
0,MSC01,Same Subject,0.807142857142857,default,auditory
1,MSC02,Same Subject,0.8107142857142857,default,auditory
2,MSC03,Same Subject,0.7517857142857143,default,auditory
3,MSC04,Same Subject,0.8446428571428573,default,auditory
4,MSC05,Same Subject,0.8517857142857143,default,auditory
5,MSC06,Same Subject,0.9357142857142857,default,auditory
6,MSC07,Same Subject,0.9285714285714286,default,auditory
7,MSC10,Same Subject,0.8607142857142857,default,auditory
8,MSC01,Different Subject,0.6283163265306122,default,auditory
9,MSC02,Different Subject,0.5523469387755101,default,auditory
10,MSC03,Different Subject,0.5628061224489797,default,auditory
11,MSC04,Different Subject,0.6266836734693878,default,auditory
12,MSC05,Different Subject,0.5530612244897959,default,auditory
13,MSC06,Different Subject,0.5973979591836736,default,auditory
14,MSC07,Different Subject,0.5736734693877551,default,auditory
15,MSC10,Different Subject,0.5789795918367348,default,auditory
