train_task,test_task,train_sub,test_sub,acc
mixed,mem,MSC10,MSC04,0.51
motor,mixed,MSC10,MSC04,0.565
motor,mem,MSC10,MSC04,0.5349999999999999
mem,mixed,MSC10,MSC04,0.4950000000000001
mem,motor,MSC10,MSC04,0.465
mixed,motor,MSC10,MSC05,0.395
mixed,mem,MSC10,MSC05,0.6650000000000001
motor,mixed,MSC10,MSC05,0.615
motor,mem,MSC10,MSC05,0.74
mem,mixed,MSC10,MSC05,0.6399999999999999
mem,motor,MSC10,MSC05,0.5799999999999998
mixed,motor,MSC10,MSC06,0.49444444444444446
mixed,mem,MSC10,MSC06,0.43000000000000005
motor,mixed,MSC10,MSC06,0.675
motor,mem,MSC10,MSC06,0.6300000000000001
mem,mixed,MSC10,MSC06,0.5
mem,motor,MSC10,MSC06,0.5722222222222222
mixed,motor,MSC10,MSC07,0.41111111111111115
mixed,mem,MSC10,MSC07,0.5349999999999999
motor,mixed,MSC10,MSC07,0.40499999999999997
motor,mem,MSC10,MSC07,0.36
mem,mixed,MSC10,MSC07,0.515
mem,motor,MSC10,MSC07,0.55
