sub,task,acc,features
MSC07,semantic,0.95,108
MSC07,glass,0.85,108
MSC07,motor,0.95,108
MSC07,mem,0.95,108
MSC10,semantic,0.7,108
MSC10,glass,0.7,108
MSC10,motor,0.95,108
MSC10,mem,0.95,108
MSC01,semantic,0.95,54
MSC01,glass,0.9,54
MSC01,motor,1.0,54
MSC01,mem,0.8,54
MSC02,semantic,0.9,54
MSC02,glass,0.75,54
MSC02,motor,0.95,54
MSC02,mem,0.9,54
MSC03,semantic,0.9,54
MSC03,glass,0.75,54
MSC03,motor,1.0,54
MSC03,mem,0.95,54
MSC04,semantic,0.9,54
MSC04,glass,0.95,54
MSC04,motor,0.65,54
MSC04,mem,0.9,54
MSC05,semantic,0.95,54
MSC05,glass,0.95,54
MSC05,motor,0.9,54
MSC05,mem,1.0,54
MSC06,semantic,0.8,54
MSC06,glass,0.7222222222222222,54
MSC06,motor,0.9,54
MSC06,mem,0.85,54
MSC07,semantic,0.95,54
MSC07,glass,0.9,54
MSC07,motor,0.9,54
MSC07,mem,0.95,54
MSC10,semantic,0.85,54
MSC10,glass,0.95,54
MSC10,motor,1.0,54
MSC10,mem,0.9,54
MSC01,semantic,0.95,143
MSC01,glass,0.85,143
MSC01,motor,1.0,143
MSC01,mem,1.0,143
MSC02,semantic,0.9,143
MSC02,glass,0.85,143
MSC02,motor,0.95,143
MSC02,mem,1.0,143
MSC03,semantic,0.85,143
MSC03,glass,0.9,143
MSC03,motor,1.0,143
MSC03,mem,1.0,143
MSC04,semantic,0.9,143
MSC04,glass,0.95,143
MSC04,motor,0.9,143
MSC04,mem,1.0,143
MSC05,semantic,0.9,143
MSC05,glass,0.95,143
MSC05,motor,0.9,143
MSC05,mem,1.0,143
MSC06,semantic,0.9,143
MSC06,glass,0.8333333333333334,143
MSC06,motor,0.95,143
MSC06,mem,1.0,143
MSC07,semantic,1.0,143
MSC07,glass,0.75,143
MSC07,motor,1.0,143
MSC07,mem,0.9,143
MSC10,semantic,0.7,143
MSC10,glass,0.85,143
MSC10,motor,0.95,143
MSC10,mem,0.85,143
MSC01,semantic,0.9,36
MSC01,glass,0.85,36
MSC01,motor,0.85,36
MSC01,mem,0.85,36
MSC02,semantic,0.75,36
MSC02,glass,0.7,36
MSC02,motor,0.9,36
MSC02,mem,0.7,36
MSC03,semantic,0.8,36
MSC03,glass,0.8,36
MSC03,motor,0.9,36
MSC03,mem,0.7,36
MSC04,semantic,0.7,36
MSC04,glass,0.85,36
MSC04,motor,0.75,36
MSC04,mem,0.85,36
MSC05,semantic,1.0,36
MSC05,glass,0.8,36
MSC05,motor,1.0,36
MSC05,mem,0.95,36
MSC06,semantic,0.75,36
MSC06,glass,0.6111111111111112,36
MSC06,motor,0.8,36
MSC06,mem,0.9,36
MSC07,semantic,0.8,36
MSC07,glass,0.85,36
MSC07,motor,0.9,36
MSC07,mem,0.85,36
MSC10,semantic,0.8,36
MSC10,glass,0.6,36
MSC10,motor,0.75,36
MSC10,mem,0.8,36
MSC01,semantic,0.8,98
MSC01,glass,0.85,98
MSC01,motor,1.0,98
MSC01,mem,0.95,98
MSC02,semantic,0.75,98
MSC02,glass,0.65,98
MSC02,motor,0.85,98
MSC02,mem,0.8,98
MSC03,semantic,0.8,98
MSC03,glass,0.75,98
MSC03,motor,1.0,98
MSC03,mem,0.95,98
MSC04,semantic,0.9,98
MSC04,glass,0.95,98
MSC04,motor,0.95,98
MSC04,mem,0.95,98
MSC05,semantic,1.0,98
MSC05,glass,0.8,98
MSC05,motor,0.95,98
MSC05,mem,1.0,98
MSC06,semantic,0.9,98
MSC06,glass,0.9444444444444444,98
MSC06,motor,0.95,98
MSC06,mem,0.9,98
MSC07,semantic,0.95,98
MSC07,glass,0.85,98
MSC07,motor,0.95,98
MSC07,mem,0.95,98
MSC10,semantic,0.7,98
MSC10,glass,0.8,98
MSC10,motor,1.0,98
MSC10,mem,0.85,98
MSC01,semantic,0.95,113
MSC01,glass,0.75,113
MSC01,motor,0.95,113
MSC01,mem,1.0,113
MSC02,semantic,0.85,113
MSC02,glass,0.85,113
MSC02,motor,0.9,113
MSC02,mem,0.85,113
MSC03,semantic,0.8,113
MSC03,glass,0.7,113
MSC03,motor,1.0,113
MSC03,mem,0.95,113
MSC04,semantic,0.8,113
MSC04,glass,0.95,113
MSC04,motor,0.9,113
MSC04,mem,0.95,113
MSC05,semantic,0.8,113
MSC05,glass,0.9,113
MSC05,motor,1.0,113
MSC05,mem,1.0,113
MSC06,semantic,0.95,113
MSC06,glass,0.7777777777777778,113
MSC06,motor,0.95,113
MSC06,mem,0.95,113
MSC07,semantic,0.85,113
MSC07,glass,0.95,113
MSC07,motor,0.9,113
MSC07,mem,0.9,113
MSC10,semantic,0.8,113
MSC10,glass,0.75,113
MSC10,motor,0.9,113
MSC10,mem,0.85,113
MSC01,semantic,0.8,31
MSC01,glass,0.9,31
MSC01,motor,0.95,31
MSC01,mem,0.9,31
MSC02,semantic,0.8,31
MSC02,glass,0.65,31
MSC02,motor,0.9,31
MSC02,mem,0.65,31
MSC03,semantic,0.8,31
MSC03,glass,0.9,31
MSC03,motor,0.8,31
MSC03,mem,0.95,31
MSC04,semantic,0.8,31
MSC04,glass,0.6,31
MSC04,motor,0.7,31
MSC04,mem,0.95,31
MSC05,semantic,0.9,31
MSC05,glass,0.6,31
MSC05,motor,0.9,31
MSC05,mem,0.95,31
MSC06,semantic,0.8,31
MSC06,glass,0.7222222222222222,31
MSC06,motor,0.9,31
MSC06,mem,0.9,31
MSC07,semantic,0.85,31
MSC07,glass,0.75,31
MSC07,motor,0.75,31
MSC07,mem,0.9,31
MSC10,semantic,0.75,31
MSC10,glass,1.0,31
MSC10,motor,0.9,31
MSC10,mem,0.8,31
MSC01,semantic,0.75,33
MSC01,glass,0.85,33
MSC01,motor,1.0,33
MSC01,mem,0.9,33
MSC02,semantic,0.8,33
MSC02,glass,0.85,33
MSC02,motor,0.95,33
MSC02,mem,0.85,33
MSC03,semantic,0.55,33
MSC03,glass,1.0,33
MSC03,motor,0.9,33
MSC03,mem,0.85,33
MSC04,semantic,0.85,33
MSC04,glass,0.75,33
MSC04,motor,0.85,33
MSC04,mem,1.0,33
MSC05,semantic,0.75,33
MSC05,glass,1.0,33
MSC05,motor,0.95,33
MSC05,mem,1.0,33
MSC06,semantic,0.7,33
MSC06,glass,0.7777777777777778,33
MSC06,motor,0.7,33
MSC06,mem,0.7,33
MSC07,semantic,0.8,33
MSC07,glass,0.7,33
MSC07,motor,0.6,33
MSC07,mem,0.7,33
MSC10,semantic,0.7,33
MSC10,glass,0.9,33
MSC10,motor,0.85,33
MSC10,mem,0.9,33
MSC01,semantic,0.9,101
MSC01,glass,0.8,101
MSC01,motor,1.0,101
MSC01,mem,0.9,101
MSC02,semantic,0.8,101
MSC02,glass,0.95,101
MSC02,motor,0.95,101
MSC02,mem,0.85,101
MSC03,semantic,0.8,101
MSC03,glass,0.8,101
MSC03,motor,0.95,101
MSC03,mem,1.0,101
