sub,task,acc,features
MSC07,motor,0.5555555555555556,10
MSC07,mem,0.75,10
MSC10,semantic,0.85,10
MSC10,glass,0.7,10
MSC10,motor,0.85,10
MSC10,mem,0.4,10
MSC01,semantic,0.75,10
MSC01,glass,0.7,10
MSC01,motor,0.55,10
MSC01,mem,0.5,10
MSC02,semantic,0.7,10
MSC02,glass,0.6,10
MSC02,motor,0.65,10
MSC02,mem,0.7,10
MSC03,semantic,0.85,10
MSC03,glass,0.75,10
MSC03,motor,0.8,10
MSC03,mem,0.7708333333333333,10
MSC04,semantic,0.7,10
MSC04,glass,0.8,10
MSC04,motor,0.7,10
MSC04,mem,0.7,10
MSC05,semantic,0.8,10
MSC05,glass,0.8,10
MSC05,motor,0.85,10
MSC05,mem,0.75,10
MSC06,semantic,0.9,10
MSC06,glass,0.7222222222222222,10
MSC06,motor,0.8888888888888888,10
MSC06,mem,0.7,10
MSC07,semantic,0.4,10
MSC07,glass,0.75,10
MSC07,motor,0.8333333333333334,10
MSC07,mem,0.45,10
MSC10,semantic,0.75,10
MSC10,glass,0.7,10
MSC10,motor,0.75,10
MSC10,mem,0.5,10
MSC01,semantic,0.85,10
MSC01,glass,0.75,10
MSC01,motor,0.7,10
MSC01,mem,0.8,10
MSC02,semantic,0.65,10
MSC02,glass,0.7,10
MSC02,motor,0.95,10
MSC02,mem,0.8,10
MSC03,semantic,0.9,10
MSC03,glass,0.95,10
MSC03,motor,0.8,10
MSC03,mem,0.7708333333333333,10
MSC04,semantic,0.6,10
MSC04,glass,0.7,10
MSC04,motor,0.55,10
MSC04,mem,0.6,10
MSC05,semantic,0.75,10
MSC05,glass,0.75,10
MSC05,motor,0.9,10
MSC05,mem,0.65,10
MSC06,semantic,0.95,10
MSC06,glass,0.8888888888888888,10
MSC06,motor,0.8333333333333334,10
MSC06,mem,0.9,10
MSC07,semantic,0.6,10
MSC07,glass,0.7,10
MSC07,motor,0.6296296296296295,10
MSC07,mem,0.7,10
MSC10,semantic,0.7,10
MSC10,glass,0.65,10
MSC10,motor,1.0,10
MSC10,mem,0.9,10
MSC01,semantic,0.8,10
MSC01,glass,0.7,10
MSC01,motor,0.85,10
MSC01,mem,0.6,10
MSC02,semantic,0.6,10
MSC02,glass,0.65,10
MSC02,motor,0.75,10
MSC02,mem,0.75,10
MSC03,semantic,0.65,10
MSC03,glass,0.8,10
MSC03,motor,0.75,10
MSC03,mem,0.5416666666666666,10
MSC04,semantic,0.9,10
MSC04,glass,0.75,10
MSC04,motor,0.7,10
MSC04,mem,0.9,10
MSC05,semantic,0.65,10
MSC05,glass,0.55,10
MSC05,motor,0.65,10
MSC05,mem,0.85,10
MSC06,semantic,0.65,10
MSC06,glass,0.6851851851851851,10
MSC06,motor,0.7962962962962963,10
MSC06,mem,0.65,10
MSC07,semantic,0.65,10
MSC07,glass,0.55,10
MSC07,motor,0.574074074074074,10
MSC07,mem,0.5,10
MSC10,semantic,0.8,10
MSC10,glass,0.85,10
MSC10,motor,0.95,10
MSC10,mem,0.9,10
MSC01,semantic,0.75,10
MSC01,glass,0.85,10
MSC01,motor,0.8,10
MSC01,mem,0.65,10
MSC02,semantic,0.7,10
MSC02,glass,0.65,10
MSC02,motor,0.95,10
MSC02,mem,0.6,10
MSC03,semantic,0.7,10
MSC03,glass,0.7,10
MSC03,motor,0.75,10
MSC03,mem,0.6666666666666666,10
MSC04,semantic,0.75,10
MSC04,glass,0.85,10
MSC04,motor,0.95,10
MSC04,mem,0.8,10
MSC05,semantic,0.65,10
MSC05,glass,0.65,10
MSC05,motor,0.85,10
MSC05,mem,0.8,10
MSC06,semantic,0.8,10
MSC06,glass,0.6296296296296295,10
MSC06,motor,0.8888888888888888,10
MSC06,mem,0.65,10
MSC07,semantic,0.8,10
MSC07,glass,0.65,10
MSC07,motor,0.6296296296296295,10
MSC07,mem,0.65,10
MSC10,semantic,0.8,10
MSC10,glass,0.85,10
MSC10,motor,0.95,10
MSC10,mem,0.55,10
MSC01,semantic,0.75,11
MSC01,glass,0.6,11
MSC01,motor,0.55,11
MSC01,mem,0.9,11
MSC02,semantic,0.85,11
MSC02,glass,0.7,11
MSC02,motor,0.9,11
MSC02,mem,0.8,11
MSC03,semantic,0.8,11
MSC03,glass,0.8,11
MSC03,motor,0.9,11
MSC03,mem,0.5833333333333333,11
MSC04,semantic,0.75,11
MSC04,glass,0.8,11
MSC04,motor,0.4,11
MSC04,mem,0.75,11
MSC05,semantic,0.75,11
MSC05,glass,0.75,11
MSC05,motor,0.8,11
MSC05,mem,0.75,11
MSC06,semantic,0.8,11
MSC06,glass,0.537037037037037,11
MSC06,motor,0.8888888888888888,11
MSC06,mem,0.85,11
MSC07,semantic,0.85,11
MSC07,glass,0.75,11
MSC07,motor,0.7222222222222222,11
MSC07,mem,0.55,11
MSC10,semantic,0.85,11
MSC10,glass,0.6,11
MSC10,motor,0.95,11
MSC10,mem,0.85,11
MSC01,semantic,0.95,11
MSC01,glass,0.7,11
MSC01,motor,0.85,11
MSC01,mem,0.8,11
MSC02,semantic,0.85,11
MSC02,glass,0.95,11
MSC02,motor,0.85,11
MSC02,mem,0.9,11
MSC03,semantic,0.75,11
MSC03,glass,0.6,11
MSC03,motor,0.7,11
MSC03,mem,0.7083333333333333,11
MSC04,semantic,0.95,11
MSC04,glass,0.75,11
MSC04,motor,0.85,11
MSC04,mem,0.9,11
MSC05,semantic,0.85,11
MSC05,glass,0.85,11
MSC05,motor,0.9,11
MSC05,mem,0.9,11
MSC06,semantic,0.8,11
MSC06,glass,0.6296296296296295,11
MSC06,motor,0.8333333333333334,11
MSC06,mem,0.9,11
MSC07,semantic,0.5,11
MSC07,glass,0.55,11
MSC07,motor,0.7777777777777778,11
MSC07,mem,0.6,11
MSC10,semantic,0.65,11
MSC10,glass,0.8,11
MSC10,motor,0.8,11
MSC10,mem,0.8,11
MSC01,semantic,0.9,11
MSC01,glass,0.6,11
MSC01,motor,0.75,11
MSC01,mem,0.7,11
MSC02,semantic,0.75,11
MSC02,glass,0.8,11
MSC02,motor,0.75,11
MSC02,mem,0.9,11
MSC03,semantic,0.85,11
MSC03,glass,0.7,11
MSC03,motor,0.8,11
MSC03,mem,0.5625,11
MSC04,semantic,0.85,11
MSC04,glass,0.65,11
MSC04,motor,0.8,11
MSC04,mem,0.85,11
MSC05,semantic,0.85,11
MSC05,glass,0.9,11
MSC05,motor,0.85,11
MSC05,mem,0.85,11
MSC06,semantic,0.8,11
MSC06,glass,0.6296296296296295,11
MSC06,motor,0.7222222222222222,11
MSC06,mem,0.95,11
MSC07,semantic,0.75,11
MSC07,glass,0.8,11
MSC07,motor,0.8888888888888888,11
MSC07,mem,0.65,11
MSC10,semantic,0.35,11
MSC10,glass,0.6,11
MSC10,motor,0.8,11
MSC10,mem,0.8,11
MSC01,semantic,0.75,11
MSC01,glass,0.8,11
MSC01,motor,1.0,11
MSC01,mem,0.8,11
MSC02,semantic,0.6,11
MSC02,glass,0.55,11
MSC02,motor,0.75,11
MSC02,mem,0.8,11
MSC03,semantic,0.75,11
MSC03,glass,0.6,11
MSC03,motor,0.85,11
MSC03,mem,0.7916666666666666,11
MSC04,semantic,0.9,11
MSC04,glass,0.7,11
MSC04,motor,0.7,11
MSC04,mem,0.95,11
MSC05,semantic,0.9,11
MSC05,glass,0.8,11
MSC05,motor,0.75,11
MSC05,mem,0.95,11
MSC06,semantic,0.6,11
MSC06,glass,0.6296296296296295,11
MSC06,motor,0.7407407407407407,11
MSC06,mem,0.85,11
MSC07,semantic,0.6,11
MSC07,glass,0.8,11
MSC07,motor,0.7407407407407407,11
MSC07,mem,0.85,11
MSC10,semantic,0.75,11
MSC10,glass,0.75,11
MSC10,motor,0.75,11
MSC10,mem,0.7,11
MSC01,semantic,0.7,11
MSC01,glass,0.8,11
MSC01,motor,0.9,11
MSC01,mem,0.9,11
MSC02,semantic,0.8,11
MSC02,glass,0.7,11
MSC02,motor,0.8,11
MSC02,mem,0.7,11
MSC03,semantic,0.5,11
MSC03,glass,0.85,11
MSC03,motor,0.9,11
MSC03,mem,0.5416666666666666,11
MSC04,semantic,0.8,11
MSC04,glass,0.9,11
MSC04,motor,0.95,11
MSC04,mem,0.9,11
MSC05,semantic,0.75,11
MSC05,glass,0.75,11
MSC05,motor,0.85,11
MSC05,mem,0.95,11
MSC06,semantic,0.35,11
MSC06,glass,0.7407407407407407,11
MSC06,motor,0.8148148148148148,11
MSC06,mem,0.8,11
MSC07,semantic,0.85,11
MSC07,glass,0.9,11
MSC07,motor,0.5185185185185185,11
MSC07,mem,0.8,11
MSC10,semantic,0.8,11
MSC10,glass,0.45,11
MSC10,motor,1.0,11
MSC10,mem,0.45,11
MSC01,semantic,0.85,11
MSC01,glass,0.85,11
MSC01,motor,0.85,11
MSC01,mem,0.95,11
MSC02,semantic,0.95,11
MSC02,glass,0.55,11
MSC02,motor,0.85,11
MSC02,mem,0.75,11
MSC03,semantic,0.6,11
MSC03,glass,0.8,11
MSC03,motor,0.7,11
MSC03,mem,0.7291666666666666,11
MSC04,semantic,0.8,11
MSC04,glass,0.75,11
MSC04,motor,0.85,11
MSC04,mem,0.8,11
MSC05,semantic,0.4,11
MSC05,glass,0.7,11
MSC05,motor,0.7,11
MSC05,mem,0.75,11
MSC06,semantic,0.5,11
MSC06,glass,0.5,11
MSC06,motor,0.9074074074074073,11
MSC06,mem,0.85,11
MSC07,semantic,0.75,11
MSC07,glass,0.55,11
MSC07,motor,0.5925925925925926,11
MSC07,mem,0.65,11
MSC10,semantic,0.85,11
MSC10,glass,0.7,11
MSC10,motor,0.65,11
MSC10,mem,0.8,11
MSC01,semantic,0.65,11
MSC01,glass,0.9,11
MSC01,motor,1.0,11
MSC01,mem,1.0,11
MSC02,semantic,0.7,11
MSC02,glass,0.75,11
MSC02,motor,0.8,11
MSC02,mem,0.85,11
MSC03,semantic,0.95,11
MSC03,glass,0.8,11
MSC03,motor,0.7,11
MSC03,mem,0.8125,11
MSC04,semantic,0.85,11
MSC04,glass,0.95,11
MSC04,motor,0.8,11
MSC04,mem,0.9,11
MSC05,semantic,0.75,11
MSC05,glass,0.8,11
MSC05,motor,0.9,11
MSC05,mem,0.9,11
MSC06,semantic,0.55,11
MSC06,glass,0.7962962962962963,11
MSC06,motor,0.8518518518518517,11
MSC06,mem,0.75,11
MSC07,semantic,0.8,11
MSC07,glass,0.7,11
MSC07,motor,0.574074074074074,11
MSC07,mem,0.75,11
MSC10,semantic,0.7,11
MSC10,glass,0.75,11
MSC10,motor,0.95,11
MSC10,mem,0.8,11
MSC01,semantic,0.7,11
MSC01,glass,0.65,11
MSC01,motor,0.6,11
MSC01,mem,0.5,11
MSC02,semantic,0.8,11
MSC02,glass,0.7,11
MSC02,motor,0.75,11
MSC02,mem,0.45,11
MSC03,semantic,0.8,11
MSC03,glass,0.5,11
MSC03,motor,0.65,11
MSC03,mem,0.6458333333333333,11
MSC04,semantic,0.75,11
MSC04,glass,0.8,11
MSC04,motor,0.9,11
MSC04,mem,0.75,11
MSC05,semantic,0.95,11
MSC05,glass,0.65,11
MSC05,motor,0.85,11
MSC05,mem,0.9,11
MSC06,semantic,0.6,11
MSC06,glass,0.6851851851851851,11
MSC06,motor,0.8888888888888888,11
MSC06,mem,0.65,11
MSC07,semantic,0.65,11
MSC07,glass,0.5,11
MSC07,motor,0.4444444444444444,11
MSC07,mem,0.45,11
MSC10,semantic,0.6,11
MSC10,glass,0.85,11
MSC10,motor,0.8,11
MSC10,mem,0.8,11
MSC01,semantic,0.7,11
MSC01,glass,0.75,11
MSC01,motor,0.75,11
MSC01,mem,0.75,11
MSC02,semantic,0.7,11
MSC02,glass,0.65,11
MSC02,motor,0.95,11
MSC02,mem,0.55,11
MSC03,semantic,0.7,11
MSC03,glass,0.75,11
MSC03,motor,0.95,11
MSC03,mem,0.6458333333333333,11
MSC04,semantic,0.5,11
MSC04,glass,0.85,11
MSC04,motor,0.85,11
MSC04,mem,0.9,11
MSC05,semantic,0.85,11
MSC05,glass,0.9,11
MSC05,motor,0.85,11
MSC05,mem,1.0,11
MSC06,semantic,0.85,11
MSC06,glass,0.8333333333333334,11
MSC06,motor,0.8888888888888888,11
MSC06,mem,1.0,11
MSC07,semantic,0.8,11
MSC07,glass,0.75,11
MSC07,motor,0.9074074074074073,11
MSC07,mem,0.7,11
MSC10,semantic,0.7,11
MSC10,glass,0.6,11
MSC10,motor,0.8,11
MSC10,mem,0.9,11
MSC01,semantic,0.9,11
MSC01,glass,0.75,11
MSC01,motor,0.6,11
MSC01,mem,0.75,11
MSC02,semantic,0.9,11
MSC02,glass,0.6,11
MSC02,motor,0.75,11
MSC02,mem,0.7,11
MSC03,semantic,0.6,11
MSC03,glass,0.7,11
MSC03,motor,0.8,11
MSC03,mem,0.9375,11
MSC04,semantic,0.75,11
MSC04,glass,0.9,11
MSC04,motor,0.8,11
MSC04,mem,0.65,11
MSC05,semantic,0.75,11
MSC05,glass,0.55,11
MSC05,motor,0.55,11
MSC05,mem,0.85,11
MSC06,semantic,0.8,11
MSC06,glass,0.5185185185185185,11
MSC06,motor,0.7222222222222222,11
MSC06,mem,0.6,11
MSC07,semantic,0.75,11
MSC07,glass,0.6,11
MSC07,motor,0.9074074074074073,11
MSC07,mem,0.85,11
MSC10,semantic,0.7,11
MSC10,glass,0.85,11
MSC10,motor,0.9,11
MSC10,mem,1.0,11
MSC01,semantic,0.75,12
MSC01,glass,0.6,12
MSC01,motor,0.5,12
MSC01,mem,0.75,12
MSC02,semantic,0.9,12
MSC02,glass,0.75,12
MSC02,motor,0.95,12
MSC02,mem,0.7,12
MSC03,semantic,0.8,12
MSC03,glass,0.8,12
MSC03,motor,0.9,12
MSC03,mem,0.875,12
MSC04,semantic,0.75,12
MSC04,glass,0.7,12
MSC04,motor,0.75,12
MSC04,mem,0.8,12
MSC05,semantic,0.6,12
MSC05,glass,0.35,12
MSC05,motor,0.9,12
MSC05,mem,0.8,12
MSC06,semantic,0.8,12
MSC06,glass,0.8333333333333334,12
MSC06,motor,1.0,12
MSC06,mem,0.95,12
MSC07,semantic,0.7,12
MSC07,glass,0.7,12
MSC07,motor,0.5555555555555556,12
MSC07,mem,0.65,12
MSC10,semantic,0.55,12
MSC10,glass,0.75,12
MSC10,motor,0.85,12
MSC10,mem,0.75,12
MSC01,semantic,0.65,12
MSC01,glass,0.85,12
MSC01,motor,0.65,12
MSC01,mem,0.65,12
MSC02,semantic,0.95,12
MSC02,glass,0.55,12
MSC02,motor,0.8,12
MSC02,mem,0.7,12
MSC03,semantic,0.8,12
MSC03,glass,0.65,12
MSC03,motor,0.8,12
MSC03,mem,0.875,12
MSC04,semantic,0.75,12
MSC04,glass,0.75,12
MSC04,motor,0.75,12
MSC04,mem,0.85,12
MSC05,semantic,0.7,12
MSC05,glass,0.75,12
MSC05,motor,0.85,12
MSC05,mem,0.75,12
MSC06,semantic,0.8,12
MSC06,glass,0.4259259259259259,12
MSC06,motor,0.7407407407407407,12
MSC06,mem,0.7,12
MSC07,semantic,1.0,12
MSC07,glass,0.85,12
MSC07,motor,0.6851851851851851,12
MSC07,mem,0.7,12
MSC10,semantic,0.55,12
MSC10,glass,0.8,12
MSC10,motor,0.8,12
MSC10,mem,0.9,12
MSC01,semantic,1.0,12
MSC01,glass,0.75,12
MSC01,motor,0.85,12
MSC01,mem,0.85,12
MSC02,semantic,0.85,12
MSC02,glass,0.75,12
MSC02,motor,0.75,12
MSC02,mem,0.75,12
MSC03,semantic,0.65,12
MSC03,glass,0.7,12
MSC03,motor,0.75,12
MSC03,mem,0.7708333333333333,12
MSC04,semantic,0.9,12
MSC04,glass,0.85,12
MSC04,motor,0.7,12
MSC04,mem,0.65,12
MSC05,semantic,0.75,12
MSC05,glass,0.85,12
MSC05,motor,0.75,12
MSC05,mem,0.75,12
MSC06,semantic,0.7,12
MSC06,glass,0.6666666666666666,12
MSC06,motor,0.8888888888888888,12
MSC06,mem,0.95,12
MSC07,semantic,0.85,12
MSC07,glass,0.85,12
MSC07,motor,0.7777777777777778,12
MSC07,mem,0.65,12
MSC10,semantic,0.85,12
MSC10,glass,0.75,12
MSC10,motor,0.55,12
MSC10,mem,0.8,12
MSC01,semantic,0.9,12
MSC01,glass,0.85,12
MSC01,motor,0.75,12
MSC01,mem,0.75,12
MSC02,semantic,0.75,12
MSC02,glass,0.55,12
MSC02,motor,0.7,12
MSC02,mem,0.8,12
MSC03,semantic,0.75,12
MSC03,glass,0.55,12
MSC03,motor,0.7,12
MSC03,mem,0.7291666666666666,12
MSC04,semantic,0.95,12
MSC04,glass,0.8,12
MSC04,motor,0.95,12
MSC04,mem,0.8,12
MSC05,semantic,0.85,12
MSC05,glass,0.75,12
MSC05,motor,0.85,12
MSC05,mem,0.95,12
MSC06,semantic,0.65,12
MSC06,glass,0.6296296296296295,12
MSC06,motor,0.8333333333333334,12
MSC06,mem,0.55,12
MSC07,semantic,0.65,12
MSC07,glass,0.8,12
MSC07,motor,0.8888888888888888,12
MSC07,mem,0.8,12
MSC10,semantic,0.45,12
MSC10,glass,0.65,12
MSC10,motor,0.55,12
MSC10,mem,0.8,12
MSC01,semantic,0.75,12
MSC01,glass,0.5,12
MSC01,motor,0.95,12
MSC01,mem,0.8,12
MSC02,semantic,0.7,12
MSC02,glass,0.65,12
MSC02,motor,0.65,12
MSC02,mem,0.9,12
MSC03,semantic,0.6,12
MSC03,glass,0.55,12
MSC03,motor,0.7,12
MSC03,mem,0.7083333333333333,12
MSC04,semantic,0.7,12
MSC04,glass,0.65,12
MSC04,motor,0.65,12
MSC04,mem,0.8,12
MSC05,semantic,0.65,12
MSC05,glass,0.8,12
MSC05,motor,0.7,12
MSC05,mem,1.0,12
MSC06,semantic,0.7,12
MSC06,glass,0.8888888888888888,12
MSC06,motor,0.7777777777777778,12
MSC06,mem,0.7,12
MSC07,semantic,0.75,12
MSC07,glass,0.5,12
MSC07,motor,0.5925925925925926,12
MSC07,mem,0.75,12
MSC10,semantic,0.85,12
MSC10,glass,0.75,12
MSC10,motor,0.9,12
MSC10,mem,0.85,12
MSC01,semantic,0.85,12
MSC01,glass,0.8,12
MSC01,motor,0.85,12
MSC01,mem,0.95,12
MSC02,semantic,0.85,12
MSC02,glass,0.7,12
MSC02,motor,0.9,12
MSC02,mem,0.65,12
MSC03,semantic,0.75,12
MSC03,glass,0.7,12
MSC03,motor,0.8,12
MSC03,mem,0.5833333333333333,12
MSC04,semantic,0.5,12
MSC04,glass,0.45,12
MSC04,motor,0.75,12
MSC04,mem,0.6,12
MSC05,semantic,0.85,12
MSC05,glass,0.8,12
MSC05,motor,0.7,12
MSC05,mem,0.9,12
MSC06,semantic,0.75,12
MSC06,glass,0.5925925925925926,12
MSC06,motor,0.6296296296296295,12
MSC06,mem,0.85,12
MSC07,semantic,0.75,12
MSC07,glass,0.7,12
MSC07,motor,0.7777777777777778,12
MSC07,mem,0.9,12
MSC10,semantic,0.85,12
MSC10,glass,0.75,12
MSC10,motor,0.85,12
MSC10,mem,0.9,12
MSC01,semantic,0.85,12
MSC01,glass,0.75,12
MSC01,motor,0.8,12
MSC01,mem,0.8,12
MSC02,semantic,0.75,12
MSC02,glass,0.75,12
MSC02,motor,0.8,12
MSC02,mem,0.8,12
MSC03,semantic,0.75,12
MSC03,glass,0.7,12
MSC03,motor,0.9,12
MSC03,mem,0.75,12
MSC04,semantic,0.5,12
MSC04,glass,0.55,12
MSC04,motor,0.85,12
MSC04,mem,0.75,12
MSC05,semantic,0.9,12
MSC05,glass,0.85,12
MSC05,motor,0.7,12
MSC05,mem,1.0,12
MSC06,semantic,0.65,12
MSC06,glass,0.6481481481481481,12
MSC06,motor,0.7037037037037037,12
MSC06,mem,0.7,12
MSC07,semantic,0.75,12
MSC07,glass,0.9,12
MSC07,motor,0.7962962962962963,12
MSC07,mem,0.8,12
MSC10,semantic,0.75,12
MSC10,glass,0.3,12
MSC10,motor,0.75,12
MSC10,mem,0.4,12
MSC01,semantic,0.85,12
MSC01,glass,0.65,12
MSC01,motor,0.75,12
MSC01,mem,0.95,12
MSC02,semantic,0.6,12
MSC02,glass,0.5,12
MSC02,motor,0.9,12
MSC02,mem,0.8,12
MSC03,semantic,0.65,12
MSC03,glass,0.7,12
MSC03,motor,0.9,12
MSC03,mem,0.9375,12
MSC04,semantic,0.75,12
MSC04,glass,0.85,12
MSC04,motor,0.9,12
