,train_task,test_task,sub,acc,Features
11,mem,motor,MSC01,0.91,60
12,glass,semantic,MSC02,0.675,60
13,glass,motor,MSC02,0.5750000000000001,60
14,glass,mem,MSC02,0.52,60
15,semantic,glass,MSC02,0.655,60
16,semantic,motor,MSC02,0.625,60
17,semantic,mem,MSC02,0.4999999999999999,60
18,motor,glass,MSC02,0.5399999999999999,60
19,motor,semantic,MSC02,0.545,60
20,motor,mem,MSC02,0.505,60
21,mem,glass,MSC02,0.5399999999999999,60
22,mem,semantic,MSC02,0.6100000000000001,60
23,mem,motor,MSC02,0.6650000000000001,60
24,glass,semantic,MSC03,0.8099999999999999,60
25,glass,motor,MSC03,0.8299999999999998,60
26,glass,mem,MSC03,0.5549999999999999,60
27,semantic,glass,MSC03,0.8450000000000001,60
28,semantic,motor,MSC03,0.7949999999999999,60
29,semantic,mem,MSC03,0.6,60
30,motor,glass,MSC03,0.7050000000000001,60
31,motor,semantic,MSC03,0.61,60
32,motor,mem,MSC03,0.5499999999999999,60
33,mem,glass,MSC03,0.5249999999999999,60
34,mem,semantic,MSC03,0.625,60
35,mem,motor,MSC03,0.6000000000000001,60
36,glass,semantic,MSC04,0.7250000000000001,60
37,glass,motor,MSC04,0.7000000000000001,60
38,glass,mem,MSC04,0.5899999999999999,60
39,semantic,glass,MSC04,0.73,60
40,semantic,motor,MSC04,0.745,60
41,semantic,mem,MSC04,0.5599999999999999,60
42,motor,glass,MSC04,0.675,60
43,motor,semantic,MSC04,0.655,60
44,motor,mem,MSC04,0.6450000000000001,60
45,mem,glass,MSC04,0.7849999999999999,60
46,mem,semantic,MSC04,0.715,60
47,mem,motor,MSC04,0.78,60
48,glass,semantic,MSC05,0.825,60
49,glass,motor,MSC05,0.86,60
50,glass,mem,MSC05,0.8750000000000002,60
51,semantic,glass,MSC05,0.93,60
52,semantic,motor,MSC05,0.885,60
53,semantic,mem,MSC05,0.995,60
54,motor,glass,MSC05,0.845,60
55,motor,semantic,MSC05,0.72,60
56,motor,mem,MSC05,0.8249999999999998,60
57,mem,glass,MSC05,0.925,60
58,mem,semantic,MSC05,0.8850000000000001,60
59,mem,motor,MSC05,0.9000000000000001,60
60,glass,semantic,MSC06,0.7222222222222222,60
61,glass,motor,MSC06,0.6444444444444444,60
62,glass,mem,MSC06,0.6944444444444443,60
63,semantic,glass,MSC06,0.6111111111111109,60
64,semantic,motor,MSC06,0.715,60
65,semantic,mem,MSC06,0.615,60
66,motor,glass,MSC06,0.6277777777777779,60
67,motor,semantic,MSC06,0.705,60
68,motor,mem,MSC06,0.615,60
69,mem,glass,MSC06,0.7111111111111111,60
70,mem,semantic,MSC06,0.7150000000000001,60
71,mem,motor,MSC06,0.715,60
72,glass,semantic,MSC07,0.945,60
73,glass,motor,MSC07,0.865,60
74,glass,mem,MSC07,0.82,60
75,semantic,glass,MSC07,0.885,60
76,semantic,motor,MSC07,0.7150000000000001,60
77,semantic,mem,MSC07,0.825,60
78,motor,glass,MSC07,0.6800000000000002,60
79,motor,semantic,MSC07,0.655,60
80,motor,mem,MSC07,0.5999999999999999,60
81,mem,glass,MSC07,0.9,60
82,mem,semantic,MSC07,0.8550000000000001,60
83,mem,motor,MSC07,0.7699999999999999,60
84,glass,semantic,MSC10,0.7949999999999999,60
85,glass,motor,MSC10,0.8699999999999999,60
86,glass,mem,MSC10,0.94,60
87,semantic,glass,MSC10,0.635,60
88,semantic,motor,MSC10,0.64,60
89,semantic,mem,MSC10,0.71,60
90,motor,glass,MSC10,0.5700000000000001,60
